Stacja;Czas pomiaru;Woda
"Bardo H-20";2024-09-17 00:11:30;334,379
"Bardo H-20";2024-09-17 00:27:54;333,79
"Bardo H-20";2024-09-17 00:40:48;332,551
"Bardo H-20";2024-09-17 00:55:51;330,338
"Bardo H-20";2024-09-17 01:11:03;327,027
"Bardo H-20";2024-09-17 01:27:02;325,403
"Bardo H-20";2024-09-17 01:42:09;325,463
"Bardo H-20";2024-09-17 01:57:14;324,529
"Bardo H-20";2024-09-17 02:13:04;322,925
"Bardo H-20";2024-09-17 02:28:21;320,508
"Bardo H-20";2024-09-17 02:42:59;318,721
"Bardo H-20";2024-09-17 02:56:57;317,909
"Bardo H-20";2024-09-17 03:12:09;316,528
"Bardo H-20";2024-09-17 03:27:16;314,436
"Bardo H-20";2024-09-17 03:42:22;313,441
"Bardo H-20";2024-09-17 03:57:33;312,1
"Bardo H-20";2024-09-17 04:12:47;310,151
"Bardo H-20";2024-09-17 04:28:48;309,298
"Bardo H-20";2024-09-17 04:42:59;307,714
"Bardo H-20";2024-09-17 04:58:56;306,17
"Bardo H-20";2024-09-17 05:13:17;305,155
"Bardo H-20";2024-09-17 05:30:14;303,083
"Bardo H-20";2024-09-17 05:43:33;301,946
"Bardo H-20";2024-09-17 05:58:39;300,687
"Bardo H-20";2024-09-17 06:14:57;298,575
"Bardo H-20";2024-09-17 06:28:50;298,006
"Bardo H-20";2024-09-17 06:43:59;297,58
"Bardo H-20";2024-09-17 06:59:09;295,671
"Bardo H-20";2024-09-17 07:14:13;293,132
"Bardo H-20";2024-09-17 07:29:22;291,792
"Bardo H-20";2024-09-17 07:44:33;290,736
"Bardo H-20";2024-09-17 07:59:39;289,639
"Bardo H-20";2024-09-17 08:16:34;288,908
"Bardo H-20";2024-09-17 08:29:54;287,771
"Bardo H-20";2024-09-17 08:44:58;286,755
"Bardo H-20";2024-09-17 09:00:02;286,41
"Bardo H-20";2024-09-17 09:15:09;284,927
"Bardo H-20";2024-09-17 09:31:58;283,018
"Bardo H-20";2024-09-17 09:45:26;282,145
"Bardo H-20";2024-09-17 10:01:39;281,028
"Bardo H-20";2024-09-17 10:15:45;279,972
"Bardo H-20";2024-09-17 10:31:53;279,363
"Bardo H-20";2024-09-17 10:45:58;278,753
"Bardo H-20";2024-09-17 11:01:04;278,205
"Bardo H-20";2024-09-17 11:16:20;277,555
"Bardo H-20";2024-09-17 11:31:29;277,048
"Bardo H-20";2024-09-17 11:46:40;276,743
"Bardo H-20";2024-09-17 12:01:46;274,895
"Bardo H-20";2024-09-17 12:17:58;273,25
"Bardo H-20";2024-09-17 12:32:01;272,681
"Bardo H-20";2024-09-17 12:49:03;271,666
"Bardo H-20";2024-09-17 13:02:15;270,914
"Bardo H-20";2024-09-17 13:18:21;270,102
"Bardo H-20";2024-09-17 13:33:30;268,944
"Bardo H-20";2024-09-17 13:47:37;268,112
"Bardo H-20";2024-09-17 14:02:41;267,706
"Bardo H-20";2024-09-17 14:17:47;266,974
"Bardo H-20";2024-09-17 14:32:58;266,203
"Bardo H-20";2024-09-17 14:48:02;265,634
"Bardo H-20";2024-09-17 15:03:03;265,126
"Bardo H-20";2024-09-17 15:18:24;265,065
"Bardo H-20";2024-09-17 15:35:38;264,111
"Bardo H-20";2024-09-17 15:48:36;263,502
"Bardo H-20";2024-09-17 16:03:49;262,283
"Bardo H-20";2024-09-17 16:19:05;261,004
"Bardo H-20";2024-09-17 16:36:40;261,004
"Bardo H-20";2024-09-17 16:49:20;260,476
"Bardo H-20";2024-09-17 17:04:27;259,521
"Bardo H-20";2024-09-17 17:19:37;259,216
"Bardo H-20";2024-09-17 17:36:44;258,892
"Bardo H-20";2024-09-17 17:49:50;258,81
"Bardo H-20";2024-09-17 18:05:03;258,16
"Bardo H-20";2024-09-17 18:20:15;256,942
"Bardo H-20";2024-09-17 18:36:19;256,495
"Bardo H-20";2024-09-17 18:52:55;256,495
"Bardo H-20";2024-09-17 19:08:11;256,495
"Bardo H-20";2024-09-17 19:22:54;256,495
"Bardo H-20";2024-09-17 19:37:58;256,495
"Bardo H-20";2024-09-17 19:52:50;254,261
"Bardo H-20";2024-09-17 20:08:33;254,261
"Bardo H-20";2024-09-17 20:24:06;254,261
"Bardo H-20";2024-09-17 20:36:29;251,134
"Bardo H-20";2024-09-17 20:52:55;249,671
"Bardo H-20";2024-09-17 21:06:43;248,453
"Bardo H-20";2024-09-17 21:21:51;248,25
"Bardo H-20";2024-09-17 21:36:59;248,331
"Bardo H-20";2024-09-17 21:52:08;247,437
"Bardo H-20";2024-09-17 22:07:21;246,991
"Bardo H-20";2024-09-17 22:23:29;247,113
"Bardo H-20";2024-09-17 22:37:44;246,991
"Bardo H-20";2024-09-17 22:52:47;245,853
"Bardo H-20";2024-09-17 23:08:46;244,96
"Bardo H-20";2024-09-17 23:22:59;244,716
"Bardo H-20";2024-09-17 23:39:10;244,757
"Bardo H-20";2024-09-17 23:53:25;245,041
"Bardo H-20";2024-09-18 00:09:26;244,005
"Bardo H-20";2024-09-18 00:23:40;242,279
"Bardo H-20";2024-09-18 00:38:47;241,913
"Bardo H-20";2024-09-18 00:53:56;242,442
"Bardo H-20";2024-09-18 01:09:03;241,71
"Bardo H-20";2024-09-18 01:24:17;240,451
"Bardo H-20";2024-09-18 01:39:23;240,106
"Bardo H-20";2024-09-18 01:54:41;239,314
"Bardo H-20";2024-09-18 02:09:48;238,055
"Bardo H-20";2024-09-18 02:24:54;237,689
"Bardo H-20";2024-09-18 02:40:10;237,446
"Bardo H-20";2024-09-18 02:55:20;237,628
"Bardo H-20";2024-09-18 03:10:26;237,669
"Bardo H-20";2024-09-18 03:25:35;237,608
"Bardo H-20";2024-09-18 03:40:50;236,999
"Bardo H-20";2024-09-18 03:55:56;235,557
"Bardo H-20";2024-09-18 04:11:09;234,927
"Bardo H-20";2024-09-18 04:26:12;234,724
"Bardo H-20";2024-09-18 04:41:21;234,846
"Bardo H-20";2024-09-18 04:56:32;234,42
"Bardo H-20";2024-09-18 05:11:39;233,648
"Bardo H-20";2024-09-18 05:26:44;233,181
"Bardo H-20";2024-09-18 05:41:55;231,942
"Bardo H-20";2024-09-18 05:58:22;231,475
"Bardo H-20";2024-09-18 06:12:11;231,312
"Bardo H-20";2024-09-18 06:27:15;230,541
"Bardo H-20";2024-09-18 06:43:18;230,5
"Bardo H-20";2024-09-18 06:57:31;229,728
"Bardo H-20";2024-09-18 07:13:33;229,241
"Bardo H-20";2024-09-18 07:29:13;228,753
"Bardo H-20";2024-09-18 07:42:55;227,494
"Bardo H-20";2024-09-18 07:58:04;226,966
"Bardo H-20";2024-09-18 08:13:15;226,804
"Bardo H-20";2024-09-18 08:28:23;226,438
"Bardo H-20";2024-09-18 08:43:39;225,788
"Bardo H-20";2024-09-18 08:58:49;225,89
"Bardo H-20";2024-09-18 09:14:46;225,667
"Bardo H-20";2024-09-18 09:29:03;224,935
"Bardo H-20";2024-09-18 09:45:04;224,448
"Bardo H-20";2024-09-18 09:59:20;224,164
"Bardo H-20";2024-09-18 10:14:28;223,92
"Bardo H-20";2024-09-18 10:29:37;223,961
"Bardo H-20";2024-09-18 10:44:45;223,392
"Bardo H-20";2024-09-18 10:59:56;222,783
"Bardo H-20";2024-09-18 11:17:48;222,783
"Bardo H-20";2024-09-18 11:30:11;222,641
"Bardo H-20";2024-09-18 11:45:19;222,498
"Bardo H-20";2024-09-18 12:00:27;222,133
"Bardo H-20";2024-09-18 12:15:34;221,32
"Bardo H-20";2024-09-18 12:31:32;220,63
"Bardo H-20";2024-09-18 12:46:53;220,346
"Bardo H-20";2024-09-18 13:00:58;220,955
"Bardo H-20";2024-09-18 13:16:07;220,528
"Bardo H-20";2024-09-18 13:33:21;219,168
"Bardo H-20";2024-09-18 13:46:25;218,315
"Bardo H-20";2024-09-18 14:01:34;217,787
"Bardo H-20";2024-09-18 14:16:41;218,152
"Bardo H-20";2024-09-18 14:31:52;218,091
"Bardo H-20";2024-09-18 14:48:02;217,36
"Bardo H-20";2024-09-18 15:02:01;216,873
"Bardo H-20";2024-09-18 15:19:09;216,528
"Bardo H-20";2024-09-18 15:33:19;216,142
"Bardo H-20";2024-09-18 15:49:19;215,898
"Bardo H-20";2024-09-18 16:02:39;215,573
"Bardo H-20";2024-09-18 16:17:46;215,106
"Bardo H-20";2024-09-18 16:34:32;214,862
"Bardo H-20";2024-09-18 16:49:03;214,294
"Bardo H-20";2024-09-18 17:05:21;213,461
"Bardo H-20";2024-09-18 17:18:30;213,156
"Bardo H-20";2024-09-18 17:33:37;213,116
"Bardo H-20";2024-09-18 17:48:42;213,197
"Bardo H-20";2024-09-18 18:03:54;212,628
"Bardo H-20";2024-09-18 18:20:06;211,471
"Bardo H-20";2024-09-18 18:35:06;211,329
"Bardo H-20";2024-09-18 18:50:16;211,308
