Stacja;Czas pomiaru;Woda
"Boboszów HP-4";2024-09-13 00:01:44;123,283
"Boboszów HP-4";2024-09-13 00:15:54;123,486
"Boboszów HP-4";2024-09-13 00:31:55;124,137
"Boboszów HP-4";2024-09-13 00:47:10;124,015
"Boboszów HP-4";2024-09-13 01:02:51;124,015
"Boboszów HP-4";2024-09-13 01:17:38;124,422
"Boboszów HP-4";2024-09-13 01:32:50;124,219
"Boboszów HP-4";2024-09-13 01:47:43;124,87
"Boboszów HP-4";2024-09-13 02:02:46;124,748
"Boboszów HP-4";2024-09-13 02:17:58;124,646
"Boboszów HP-4";2024-09-13 02:32:06;124,402
"Boboszów HP-4";2024-09-13 02:47:15;124,626
"Boboszów HP-4";2024-09-13 03:03:23;124,687
"Boboszów HP-4";2024-09-13 03:17:36;124,3
"Boboszów HP-4";2024-09-13 03:34:07;124,463
"Boboszów HP-4";2024-09-13 03:48:57;124,361
"Boboszów HP-4";2024-09-13 04:04:03;124,361
"Boboszów HP-4";2024-09-13 04:18:07;124,402
"Boboszów HP-4";2024-09-13 04:33:20;123,995
"Boboszów HP-4";2024-09-13 04:48:33;124,341
"Boboszów HP-4";2024-09-13 05:03:46;124,402
"Boboszów HP-4";2024-09-13 05:18:53;124,463
"Boboszów HP-4";2024-09-13 05:34:02;124,443
"Boboszów HP-4";2024-09-13 05:49:09;123,832
"Boboszów HP-4";2024-09-13 06:05:22;124,463
"Boboszów HP-4";2024-09-13 06:20:32;124,626
"Boboszów HP-4";2024-09-13 06:35:48;124,219
"Boboszów HP-4";2024-09-13 06:51:26;124,26
"Boboszów HP-4";2024-09-13 07:06:57;124,076
"Boboszów HP-4";2024-09-13 07:20:05;124,463
"Boboszów HP-4";2024-09-13 07:35:10;124,321
"Boboszów HP-4";2024-09-13 07:51:38;124,524
"Boboszów HP-4";2024-09-13 08:06:45;124,524
"Boboszów HP-4";2024-09-13 08:21:55;124,28
"Boboszów HP-4";2024-09-13 08:37:02;124,483
"Boboszów HP-4";2024-09-13 08:52:12;124,056
"Boboszów HP-4";2024-09-13 09:06:15;124,117
"Boboszów HP-4";2024-09-13 09:22:57;123,995
"Boboszów HP-4";2024-09-13 09:38:04;123,995
"Boboszów HP-4";2024-09-13 09:53:08;124,015
"Boboszów HP-4";2024-09-13 10:06:40;123,649
"Boboszów HP-4";2024-09-13 10:22:01;123,547
"Boboszów HP-4";2024-09-13 10:37:11;124,015
"Boboszów HP-4";2024-09-13 10:53:27;123,873
"Boboszów HP-4";2024-09-13 11:08:37;124,198
"Boboszów HP-4";2024-09-13 11:22:37;124,361
"Boboszów HP-4";2024-09-13 11:39:14;124,483
"Boboszów HP-4";2024-09-13 11:54:02;124,687
"Boboszów HP-4";2024-09-13 12:09:08;124,402
"Boboszów HP-4";2024-09-13 12:25:16;124,402
"Boboszów HP-4";2024-09-13 12:39:27;124,789
"Boboszów HP-4";2024-09-13 12:54:54;125,053
"Boboszów HP-4";2024-09-13 13:09:53;125,237
"Boboszów HP-4";2024-09-13 13:23:53;125,257
"Boboszów HP-4";2024-09-13 13:40:15;125,583
"Boboszów HP-4";2024-09-13 13:54:07;125,908
"Boboszów HP-4";2024-09-13 14:09:24;126,071
"Boboszów HP-4";2024-09-13 14:25:53;126,498
"Boboszów HP-4";2024-09-13 14:41:22;126,498
"Boboszów HP-4";2024-09-13 14:55:52;127,435
"Boboszów HP-4";2024-09-13 15:10:00;127,414
"Boboszów HP-4";2024-09-13 15:25:11;127,923
"Boboszów HP-4";2024-09-13 15:41:14;128,045
"Boboszów HP-4";2024-09-13 15:56:26;128,941
"Boboszów HP-4";2024-09-13 16:11:42;128,737
"Boboszów HP-4";2024-09-13 16:25:42;129,328
"Boboszów HP-4";2024-09-13 16:41:47;130,101
"Boboszów HP-4";2024-09-13 16:57:34;130,101
"Boboszów HP-4";2024-09-13 17:12:42;130,101
"Boboszów HP-4";2024-09-13 17:28:19;130,915
"Boboszów HP-4";2024-09-13 17:43:18;130,915
"Boboszów HP-4";2024-09-13 17:58:03;130,834
"Boboszów HP-4";2024-09-13 18:12:51;130,956
"Boboszów HP-4";2024-09-13 18:28:30;131,383
"Boboszów HP-4";2024-09-13 18:43:52;131,383
"Boboszów HP-4";2024-09-13 18:58:21;131,77
"Boboszów HP-4";2024-09-13 19:12:22;132,177
"Boboszów HP-4";2024-09-13 19:27:35;132,32
"Boboszów HP-4";2024-09-13 19:42:43;133,052
"Boboszów HP-4";2024-09-13 19:58:55;134,599
"Boboszów HP-4";2024-09-13 20:15:01;134,599
"Boboszów HP-4";2024-09-13 20:29:48;135,8
"Boboszów HP-4";2024-09-13 20:43:24;136,859
"Boboszów HP-4";2024-09-13 21:00:30;137,999
"Boboszów HP-4";2024-09-13 21:14:59;139,26
"Boboszów HP-4";2024-09-13 21:30:17;139,525
"Boboszów HP-4";2024-09-13 21:45:37;140,278
"Boboszów HP-4";2024-09-13 21:59:08;141,031
"Boboszów HP-4";2024-09-13 22:14:19;141,907
"Boboszów HP-4";2024-09-13 22:29:26;143,148
"Boboszów HP-4";2024-09-13 22:44:39;142,314
"Boboszów HP-4";2024-09-13 23:01:11;142,68
"Boboszów HP-4";2024-09-13 23:16:02;142,66
"Boboszów HP-4";2024-09-13 23:30:01;143,087
"Boboszów HP-4";2024-09-13 23:46:06;143,311
"Boboszów HP-4";2024-09-14 00:00:15;143,209
"Boboszów HP-4";2024-09-14 00:16:41;143,209
"Boboszów HP-4";2024-09-14 00:30:41;143,067
"Boboszów HP-4";2024-09-14 00:46:52;142,395
"Boboszów HP-4";2024-09-14 01:01:58;142,212
"Boboszów HP-4";2024-09-14 01:17:15;141,499
