Stacja;Czas pomiaru;Woda
"Darnków HP-3";2024-09-13 00:01:43;638,601
"Darnków HP-3";2024-09-13 00:16:42;639,79
"Darnków HP-3";2024-09-13 00:31:53;640,738
"Darnków HP-3";2024-09-13 00:47:09;642,029
"Darnków HP-3";2024-09-13 01:02:10;642,976
"Darnków HP-3";2024-09-13 01:17:14;644,166
"Darnków HP-3";2024-09-13 01:32:28;644,973
"Darnków HP-3";2024-09-13 01:47:56;646,747
"Darnków HP-3";2024-09-13 02:02:41;647,534
"Darnków HP-3";2024-09-13 02:17:57;649,026
"Darnków HP-3";2024-09-13 02:32:59;649,833
"Darnków HP-3";2024-09-13 02:48:12;650,841
"Darnków HP-3";2024-09-13 03:03:22;652,373
"Darnków HP-3";2024-09-13 03:18:34;653,624
"Darnków HP-3";2024-09-13 03:33:45;654,854
"Darnków HP-3";2024-09-13 03:48:54;656,568
"Darnków HP-3";2024-09-13 04:04:00;658,08
"Darnków HP-3";2024-09-13 04:18:55;659,552
"Darnków HP-3";2024-09-13 04:34:20;661,166
"Darnków HP-3";2024-09-13 04:49:44;662,9
"Darnków HP-3";2024-09-13 05:04:39;664,251
"Darnków HP-3";2024-09-13 05:19:55;666,469
"Darnków HP-3";2024-09-13 05:35:02;667,921
"Darnków HP-3";2024-09-13 05:50:10;669,756
"Darnków HP-3";2024-09-13 06:05:19;671,894
"Darnków HP-3";2024-09-13 06:20:22;673,749
"Darnków HP-3";2024-09-13 06:35:40;675,463
"Darnków HP-3";2024-09-13 06:50:49;676,955
"Darnków HP-3";2024-09-13 07:06:55;678,689
"Darnków HP-3";2024-09-13 07:21:02;679,355
"Darnków HP-3";2024-09-13 07:37:27;680,726
"Darnków HP-3";2024-09-13 07:52:59;680,726
"Darnków HP-3";2024-09-13 08:06:44;681,391
"Darnków HP-3";2024-09-13 08:21:52;681,412
"Darnków HP-3";2024-09-13 08:37:01;681,533
"Darnków HP-3";2024-09-13 08:51:59;682,299
"Darnków HP-3";2024-09-13 09:07:07;682,279
"Darnków HP-3";2024-09-13 09:22:27;679,335
"Darnków HP-3";2024-09-13 09:37:30;678,629
"Darnków HP-3";2024-09-13 09:53:07;678,387
"Darnków HP-3";2024-09-13 10:08:07;678,286
"Darnków HP-3";2024-09-13 10:23:02;677,318
"Darnków HP-3";2024-09-13 10:38:13;677,479
"Darnków HP-3";2024-09-13 10:54:06;676,733
"Darnków HP-3";2024-09-13 11:08:35;676,471
"Darnków HP-3";2024-09-13 11:23:31;676,612
"Darnków HP-3";2024-09-13 11:39:04;676,451
"Darnków HP-3";2024-09-13 11:53:47;676,572
"Darnków HP-3";2024-09-13 12:09:03;676,249
"Darnków HP-3";2024-09-13 12:24:21;675,987
"Darnków HP-3";2024-09-13 12:39:24;676,653
"Darnków HP-3";2024-09-13 12:54:53;677,157
"Darnków HP-3";2024-09-13 13:09:49;679,314
"Darnków HP-3";2024-09-13 13:24:57;677,399
"Darnków HP-3";2024-09-13 13:39:55;679,415
"Darnków HP-3";2024-09-13 13:55:15;677,5
"Darnków HP-3";2024-09-13 14:10:42;678,145
"Darnków HP-3";2024-09-13 14:25:35;677,782
"Darnków HP-3";2024-09-13 14:41:05;677,862
"Darnków HP-3";2024-09-13 14:55:50;678,064
"Darnków HP-3";2024-09-13 15:11:12;677,963
"Darnków HP-3";2024-09-13 15:26:10;678,246
"Darnków HP-3";2024-09-13 15:41:12;678,629
"Darnków HP-3";2024-09-13 15:56:37;678,447
"Darnków HP-3";2024-09-13 16:11:40;679,577
"Darnków HP-3";2024-09-13 16:26:45;679,355
"Darnków HP-3";2024-09-13 16:41:45;680,081
"Darnków HP-3";2024-09-13 16:57:02;680,282
"Darnków HP-3";2024-09-13 17:12:09;680,302
"Darnków HP-3";2024-09-13 17:27:22;680,887
"Darnków HP-3";2024-09-13 17:42:23;680,867
"Darnków HP-3";2024-09-13 17:57:37;681,391
"Darnków HP-3";2024-09-13 18:12:46;682,339
"Darnków HP-3";2024-09-13 18:28:25;681,674
"Darnków HP-3";2024-09-13 18:43:06;683,509
"Darnków HP-3";2024-09-13 18:58:16;683,368
"Darnków HP-3";2024-09-13 19:13:17;684,396
"Darnków HP-3";2024-09-13 19:28:24;684,759
"Darnków HP-3";2024-09-13 19:43:39;685,707
"Darnków HP-3";2024-09-13 19:58:52;685,485
"Darnków HP-3";2024-09-13 20:14:39;687,522
"Darnków HP-3";2024-09-13 20:29:12;688,389
"Darnków HP-3";2024-09-13 20:44:45;689,115
"Darnków HP-3";2024-09-13 21:00:13;691,111
"Darnków HP-3";2024-09-13 21:14:38;691,535
"Darnków HP-3";2024-09-13 21:29:53;693,652
"Darnków HP-3";2024-09-13 21:45:04;693,612
"Darnków HP-3";2024-09-13 22:00:05;695,265
"Darnków HP-3";2024-09-13 22:15:58;695,85
"Darnków HP-3";2024-09-13 22:30:54;695,89
"Darnków HP-3";2024-09-13 22:46:21;694,418
"Darnków HP-3";2024-09-13 23:00:51;695,185
"Darnków HP-3";2024-09-13 23:16:00;693,753
"Darnków HP-3";2024-09-13 23:30:58;693,874
"Darnków HP-3";2024-09-13 23:46:03;692,442
"Darnków HP-3";2024-09-14 00:01:15;691,898
"Darnków HP-3";2024-09-14 00:17:23;691,736
"Darnków HP-3";2024-09-14 00:31:35;691,474
"Darnków HP-3";2024-09-14 00:46:50;691,172
"Darnków HP-3";2024-09-14 01:01:55;690,224
"Darnków HP-3";2024-09-14 01:17:13;690,284
"Darnków HP-3";2024-09-14 01:32:05;689,619
"Darnków HP-3";2024-09-14 01:48:02;689,982
"Darnków HP-3";2024-09-14 02:02:31;689,216
"Darnków HP-3";2024-09-14 02:17:54;688,691
"Darnków HP-3";2024-09-14 02:32:49;688,449
"Darnków HP-3";2024-09-14 02:48:02;687,844
"Darnków HP-3";2024-09-14 03:03:15;687,461
"Darnków HP-3";2024-09-14 03:18:25;687,058
"Darnków HP-3";2024-09-14 03:33:59;687,804
"Darnków HP-3";2024-09-14 03:49:18;687,219
"Darnków HP-3";2024-09-14 04:04:02;686,493
"Darnków HP-3";2024-09-14 04:19:43;686,755
"Darnków HP-3";2024-09-14 04:34:09;685,908
"Darnków HP-3";2024-09-14 04:49:39;685,929
"Darnków HP-3";2024-09-14 05:04:27;685,465
"Darnków HP-3";2024-09-14 05:19:45;685,263
"Darnków HP-3";2024-09-14 05:34:57;685,606
"Darnków HP-3";2024-09-14 05:50:29;684,88
"Darnków HP-3";2024-09-14 06:05:06;684,699
"Darnków HP-3";2024-09-14 06:20:54;684,517
"Darnków HP-3";2024-09-14 06:35:23;683,952
