Stacja;Czas pomiaru;Woda
"Duszniki-Zdrój H-15";2024-09-13 00:01:02;16,4308
"Duszniki-Zdrój H-15";2024-09-13 00:16:06;16,2067
"Duszniki-Zdrój H-15";2024-09-13 00:31:15;15,942
"Duszniki-Zdrój H-15";2024-09-13 00:46:25;16,553
"Duszniki-Zdrój H-15";2024-09-13 01:01:34;17,4898
"Duszniki-Zdrój H-15";2024-09-13 01:16:38;17,3065
"Duszniki-Zdrój H-15";2024-09-13 01:31:48;16,777
"Duszniki-Zdrój H-15";2024-09-13 01:46:56;17,1436
"Duszniki-Zdrój H-15";2024-09-13 02:02:02;17,7139
"Duszniki-Zdrój H-15";2024-09-13 02:17:13;18,1619
"Duszniki-Zdrój H-15";2024-09-13 02:32:21;18,0397
"Duszniki-Zdrój H-15";2024-09-13 02:47:31;17,7953
"Duszniki-Zdrój H-15";2024-09-13 03:02:40;18,2026
"Duszniki-Zdrój H-15";2024-09-13 03:17:55;18,7729
"Duszniki-Zdrój H-15";2024-09-13 03:32:59;18,4267
"Duszniki-Zdrój H-15";2024-09-13 03:48:10;18,3248
"Duszniki-Zdrój H-15";2024-09-13 04:03:16;19,7098
"Duszniki-Zdrój H-15";2024-09-13 04:18:19;20,443
"Duszniki-Zdrój H-15";2024-09-13 04:33:31;20,4022
"Duszniki-Zdrój H-15";2024-09-13 04:48:49;20,7688
"Duszniki-Zdrój H-15";2024-09-13 05:04:00;20,5652
"Duszniki-Zdrój H-15";2024-09-13 05:19:05;21,7057
"Duszniki-Zdrój H-15";2024-09-13 05:34:18;22,1538
"Duszniki-Zdrój H-15";2024-09-13 05:49:25;21,9094
"Duszniki-Zdrój H-15";2024-09-13 06:04:39;23,3758
"Duszniki-Zdrój H-15";2024-09-13 06:19:47;23,722
"Duszniki-Zdrój H-15";2024-09-13 06:34:59;23,9868
"Duszniki-Zdrój H-15";2024-09-13 06:50:06;23,6609
"Duszniki-Zdrój H-15";2024-09-13 07:05:17;23,1721
"Duszniki-Zdrój H-15";2024-09-13 07:20:18;23,4572
"Duszniki-Zdrój H-15";2024-09-13 07:35:24;23,7016
"Duszniki-Zdrój H-15";2024-09-13 07:50:42;24,6181
"Duszniki-Zdrój H-15";2024-09-13 08:05:50;24,9236
"Duszniki-Zdrój H-15";2024-09-13 08:21:58;24,557
"Duszniki-Zdrój H-15";2024-09-13 08:37:07;25,0866
"Duszniki-Zdrój H-15";2024-09-13 08:51:23;25,5143
"Duszniki-Zdrój H-15";2024-09-13 09:06:28;25,5754
"Duszniki-Zdrój H-15";2024-09-13 09:21:37;25,7587
"Duszniki-Zdrój H-15";2024-09-13 09:36:45;26,3493
"Duszniki-Zdrój H-15";2024-09-13 09:51:57;26,2678
"Duszniki-Zdrój H-15";2024-09-13 10:06:55;26,7566
"Duszniki-Zdrój H-15";2024-09-13 10:22:19;27,0418
"Duszniki-Zdrój H-15";2024-09-13 10:37:26;27,4084
"Duszniki-Zdrój H-15";2024-09-13 10:53:37;27,612
"Duszniki-Zdrój H-15";2024-09-13 11:07:45;26,0642
"Duszniki-Zdrój H-15";2024-09-13 11:23:41;25,8605
"Duszniki-Zdrój H-15";2024-09-13 11:37:59;27,001
"Duszniki-Zdrój H-15";2024-09-13 11:53:11;27,7342
"Duszniki-Zdrój H-15";2024-09-13 12:08:18;27,001
"Duszniki-Zdrój H-15";2024-09-13 12:23:29;27,5102
"Duszniki-Zdrój H-15";2024-09-13 12:38:35;28,9358
"Duszniki-Zdrój H-15";2024-09-13 12:53:44;29,6487
"Duszniki-Zdrój H-15";2024-09-13 13:08:57;29,8523
"Duszniki-Zdrój H-15";2024-09-13 13:24:09;30,2597
"Duszniki-Zdrój H-15";2024-09-13 13:39:15;31,4002
"Duszniki-Zdrój H-15";2024-09-13 13:54:20;31,3595
"Duszniki-Zdrój H-15";2024-09-13 14:09:40;31,3391
"Duszniki-Zdrój H-15";2024-09-13 14:24:57;32,1334
"Duszniki-Zdrój H-15";2024-09-13 14:40:03;32,6222
"Duszniki-Zdrój H-15";2024-09-13 14:55:08;32,5407
"Duszniki-Zdrój H-15";2024-09-13 15:10:13;33,4369
"Duszniki-Zdrój H-15";2024-09-13 15:25:25;33,7627
"Duszniki-Zdrój H-15";2024-09-13 15:40:36;35,0051
"Duszniki-Zdrój H-15";2024-09-13 15:56:38;36,5122
"Duszniki-Zdrój H-15";2024-09-13 16:10:53;36,5326
"Duszniki-Zdrój H-15";2024-09-13 16:26:01;38,0804
"Duszniki-Zdrój H-15";2024-09-13 16:41:07;39,669
"Duszniki-Zdrój H-15";2024-09-13 16:56:17;40,7688
"Duszniki-Zdrój H-15";2024-09-13 17:11:29;40,8096
"Duszniki-Zdrój H-15";2024-09-13 17:26:29;41,6039
"Duszniki-Zdrój H-15";2024-09-13 17:41:42;42,4796
"Duszniki-Zdrój H-15";2024-09-13 17:57:46;42,9277
"Duszniki-Zdrój H-15";2024-09-13 18:12:00;43,7424
"Duszniki-Zdrój H-15";2024-09-13 18:27:16;42,7648
"Duszniki-Zdrój H-15";2024-09-13 18:42:24;41,889
"Duszniki-Zdrój H-15";2024-09-13 18:57:34;44,8014
"Duszniki-Zdrój H-15";2024-09-13 19:12:40;47,1843
"Duszniki-Zdrój H-15";2024-09-13 19:27:48;49,8931
"Duszniki-Zdrój H-15";2024-09-13 19:42:59;51,5224
"Duszniki-Zdrój H-15";2024-09-13 19:58:15;50,1782
"Duszniki-Zdrój H-15";2024-09-13 20:14:24;51,8075
"Duszniki-Zdrój H-15";2024-09-13 20:28:32;54,0886
"Duszniki-Zdrój H-15";2024-09-13 20:43:36;56,1253
"Duszniki-Zdrój H-15";2024-09-13 20:58:50;56,7566
"Duszniki-Zdrój H-15";2024-09-13 21:14:00;57,1843
"Duszniki-Zdrój H-15";2024-09-13 21:29:12;60,8096
"Duszniki-Zdrój H-15";2024-09-13 21:45:20;63,4572
"Duszniki-Zdrój H-15";2024-09-13 21:59:23;65,7587
"Duszniki-Zdrój H-15";2024-09-13 22:14:34;70,9725
"Duszniki-Zdrój H-15";2024-09-13 22:29:42;72,9481
"Duszniki-Zdrój H-15";2024-09-13 22:45:46;74,0886
"Duszniki-Zdrój H-15";2024-09-13 23:00:03;71,7261
"Duszniki-Zdrój H-15";2024-09-13 23:16:09;69,5672
"Duszniki-Zdrój H-15";2024-09-13 23:30:19;72,3778
"Duszniki-Zdrój H-15";2024-09-13 23:45:25;76,8381
"Duszniki-Zdrój H-15";2024-09-14 00:00:28;76,6344
"Duszniki-Zdrój H-15";2024-09-14 00:15:46;68,9766
"Duszniki-Zdrój H-15";2024-09-14 00:30:56;63,6202
"Duszniki-Zdrój H-15";2024-09-14 00:46:03;59,3635
"Duszniki-Zdrój H-15";2024-09-14 01:01:12;55,6772
"Duszniki-Zdrój H-15";2024-09-14 01:16:18;52,5815
"Duszniki-Zdrój H-15";2024-09-14 01:31:25;52,1334
"Duszniki-Zdrój H-15";2024-09-14 01:46:41;55,1069
"Duszniki-Zdrój H-15";2024-09-14 02:01:53;55,5957
"Duszniki-Zdrój H-15";2024-09-14 02:16:56;55,3921
"Duszniki-Zdrój H-15";2024-09-14 02:32:04;53,9257
"Duszniki-Zdrój H-15";2024-09-14 02:47:12;52,7851
"Duszniki-Zdrój H-15";2024-09-14 03:03:28;57,388
"Duszniki-Zdrój H-15";2024-09-14 03:17:35;57,1843
"Duszniki-Zdrój H-15";2024-09-14 03:32:42;50,9929
"Duszniki-Zdrój H-15";2024-09-14 03:47:55;50,5448
"Duszniki-Zdrój H-15";2024-09-14 04:03:11;54,9033
"Duszniki-Zdrój H-15";2024-09-14 04:18:14;54,3737
"Duszniki-Zdrój H-15";2024-09-14 04:33:23;51,0336
"Duszniki-Zdrój H-15";2024-09-14 04:48:33;51,3187
"Duszniki-Zdrój H-15";2024-09-14 05:03:38;51,0336
"Duszniki-Zdrój H-15";2024-09-14 05:18:47;47,0418
"Duszniki-Zdrój H-15";2024-09-14 05:34:02;44,6792
"Duszniki-Zdrój H-15";2024-09-14 05:49:08;47,9786
"Duszniki-Zdrój H-15";2024-09-14 06:04:19;49,5061
"Duszniki-Zdrój H-15";2024-09-14 06:19:24;47,3065
"Duszniki-Zdrój H-15";2024-09-14 06:34:32;45,0458
"Duszniki-Zdrój H-15";2024-09-14 06:49:34;44,2515
"Duszniki-Zdrój H-15";2024-09-14 07:04:44;43,3758
"Duszniki-Zdrój H-15";2024-09-14 07:19:58;42,6833
"Duszniki-Zdrój H-15";2024-09-14 07:35:05;42,6222
"Duszniki-Zdrój H-15";2024-09-14 07:50:20;42,3167
