Stacja;Czas pomiaru;Woda
"Gorzuchów H-5";2024-09-13 00:00:39;79,0124
"Gorzuchów H-5";2024-09-13 00:16:44;79,2968
"Gorzuchów H-5";2024-09-13 00:30:57;79,4187
"Gorzuchów H-5";2024-09-13 00:46:04;79,8249
"Gorzuchów H-5";2024-09-13 01:02:12;80,3937
"Gorzuchów H-5";2024-09-13 01:16:19;80,8406
"Gorzuchów H-5";2024-09-13 01:31:27;81,2062
"Gorzuchów H-5";2024-09-13 01:46:35;81,389
"Gorzuchów H-5";2024-09-13 02:01:41;81,5109
"Gorzuchów H-5";2024-09-13 02:16:55;81,8968
"Gorzuchów H-5";2024-09-13 02:32:04;82,7093
"Gorzuchów H-5";2024-09-13 02:47:11;83,1968
"Gorzuchów H-5";2024-09-13 03:02:22;83,3187
"Gorzuchów H-5";2024-09-13 03:17:34;83,9281
"Gorzuchów H-5";2024-09-13 03:32:42;84,9437
"Gorzuchów H-5";2024-09-13 03:48:56;85,4922
"Gorzuchów H-5";2024-09-13 04:02:56;85,8375
"Gorzuchów H-5";2024-09-13 04:18:03;86,4875
"Gorzuchów H-5";2024-09-13 04:33:15;86,8531
"Gorzuchów H-5";2024-09-13 04:48:28;87,5032
"Gorzuchów H-5";2024-09-13 05:03:44;88,011
"Gorzuchów H-5";2024-09-13 05:18:50;88,3969
"Gorzuchów H-5";2024-09-13 05:34:00;89,0469
"Gorzuchów H-5";2024-09-13 05:49:07;89,2501
"Gorzuchów H-5";2024-09-13 06:04:18;89,7376
"Gorzuchów H-5";2024-09-13 06:19:26;90,611
"Gorzuchów H-5";2024-09-13 06:35:43;90,4688
"Gorzuchów H-5";2024-09-13 06:49:43;91,0782
"Gorzuchów H-5";2024-09-13 07:04:52;92,7439
"Gorzuchów H-5";2024-09-13 07:20:00;93,8204
"Gorzuchów H-5";2024-09-13 07:35:08;94,0439
"Gorzuchów H-5";2024-09-13 07:50:21;94,2876
"Gorzuchów H-5";2024-09-13 08:05:32;95,4658
"Gorzuchów H-5";2024-09-13 08:20:44;96,4814
"Gorzuchów H-5";2024-09-13 08:35:55;97,2127
"Gorzuchów H-5";2024-09-13 08:51:01;98,1064
"Gorzuchów H-5";2024-09-13 09:06:10;99,3252
"Gorzuchów H-5";2024-09-13 09:21:17;99,2846
"Gorzuchów H-5";2024-09-13 09:36:25;99,3049
"Gorzuchów H-5";2024-09-13 09:51:37;100,646
"Gorzuchów H-5";2024-09-13 10:06:38;101,763
"Gorzuchów H-5";2024-09-13 10:21:56;102,677
"Gorzuchów H-5";2024-09-13 10:37:07;102,941
"Gorzuchów H-5";2024-09-13 10:52:15;103,103
"Gorzuchów H-5";2024-09-13 11:07:26;103,835
"Gorzuchów H-5";2024-09-13 11:22:35;104,667
"Gorzuchów H-5";2024-09-13 11:37:40;105,053
"Gorzuchów H-5";2024-09-13 11:52:49;105,114
"Gorzuchów H-5";2024-09-13 12:07:59;105,216
"Gorzuchów H-5";2024-09-13 12:23:06;105,46
"Gorzuchów H-5";2024-09-13 12:38:15;105,703
