Stacja;Czas pomiaru;Woda
"Krosnowice H-2";2024-09-13 00:00:35;134,516
"Krosnowice H-2";2024-09-13 00:15:45;135,139
"Krosnowice H-2";2024-09-13 00:30:53;135,821
"Krosnowice H-2";2024-09-13 00:46:01;136,464
"Krosnowice H-2";2024-09-13 01:01:07;137,086
"Krosnowice H-2";2024-09-13 01:16:15;137,749
"Krosnowice H-2";2024-09-13 01:31:24;138,512
"Krosnowice H-2";2024-09-13 01:46:31;139,396
"Krosnowice H-2";2024-09-13 02:01:37;140,319
"Krosnowice H-2";2024-09-13 02:16:51;141,203
"Krosnowice H-2";2024-09-13 02:32:00;142,086
"Krosnowice H-2";2024-09-13 02:47:05;142,99
"Krosnowice H-2";2024-09-13 03:02:19;144,014
"Krosnowice H-2";2024-09-13 03:17:30;145,058
"Krosnowice H-2";2024-09-13 03:32:38;146,022
"Krosnowice H-2";2024-09-13 03:47:46;146,986
"Krosnowice H-2";2024-09-13 04:02:53;148,11
"Krosnowice H-2";2024-09-13 04:17:59;149,637
"Krosnowice H-2";2024-09-13 04:33:11;151,163
"Krosnowice H-2";2024-09-13 04:48:25;152,568
"Krosnowice H-2";2024-09-13 05:03:38;154,054
"Krosnowice H-2";2024-09-13 05:18:46;155,4
"Krosnowice H-2";2024-09-13 05:35:03;156,785
"Krosnowice H-2";2024-09-13 05:49:03;158,592
"Krosnowice H-2";2024-09-13 06:05:20;161,022
"Krosnowice H-2";2024-09-13 06:19:22;163,412
"Krosnowice H-2";2024-09-13 06:34:31;165,058
"Krosnowice H-2";2024-09-13 06:49:39;166,625
"Krosnowice H-2";2024-09-13 07:04:48;168,432
"Krosnowice H-2";2024-09-13 07:19:55;169,757
"Krosnowice H-2";2024-09-13 07:35:04;170,882
"Krosnowice H-2";2024-09-13 07:50:17;172,247
"Krosnowice H-2";2024-09-13 08:05:29;173,171
"Krosnowice H-2";2024-09-13 08:20:40;174,255
"Krosnowice H-2";2024-09-13 08:35:51;175,781
"Krosnowice H-2";2024-09-13 08:50:57;177,026
"Krosnowice H-2";2024-09-13 09:06:04;178,231
"Krosnowice H-2";2024-09-13 09:21:13;179,396
"Krosnowice H-2";2024-09-13 09:36:21;180,239
"Krosnowice H-2";2024-09-13 09:51:32;181,042
"Krosnowice H-2";2024-09-13 10:06:34;182,127
"Krosnowice H-2";2024-09-13 10:21:52;183,291
"Krosnowice H-2";2024-09-13 10:38:15;184,074
"Krosnowice H-2";2024-09-13 10:52:11;184,978
"Krosnowice H-2";2024-09-13 11:07:22;186,263
"Krosnowice H-2";2024-09-13 11:23:32;187,548
"Krosnowice H-2";2024-09-13 11:37:36;188,633
"Krosnowice H-2";2024-09-13 11:52:45;189,476
"Krosnowice H-2";2024-09-13 12:07:55;190,239
"Krosnowice H-2";2024-09-13 12:23:02;190,982
"Krosnowice H-2";2024-09-13 12:38:11;191,845
"Krosnowice H-2";2024-09-13 12:53:19;193,05
"Krosnowice H-2";2024-09-13 13:08:30;194,637
"Krosnowice H-2";2024-09-13 13:23:45;196,584
"Krosnowice H-2";2024-09-13 13:38:53;198,874
"Krosnowice H-2";2024-09-13 13:54:01;201,082
"Krosnowice H-2";2024-09-13 14:09:16;202,89
"Krosnowice H-2";2024-09-13 14:24:29;204,898
"Krosnowice H-2";2024-09-13 14:39:39;207,147
"Krosnowice H-2";2024-09-13 14:54:46;209,335
"Krosnowice H-2";2024-09-13 15:09:53;211,765
"Krosnowice H-2";2024-09-13 15:25:04;214,677
"Krosnowice H-2";2024-09-13 15:40:12;212,97
"Krosnowice H-2";2024-09-13 15:55:19;209,135
"Krosnowice H-2";2024-09-13 16:10:28;209,596
"Krosnowice H-2";2024-09-13 16:25:36;211,845
"Krosnowice H-2";2024-09-13 16:41:46;215,299
"Krosnowice H-2";2024-09-13 16:55:52;218,552
"Krosnowice H-2";2024-09-13 17:12:10;221,203
"Krosnowice H-2";2024-09-13 17:26:07;224,315
"Krosnowice H-2";2024-09-13 17:41:15;227,287
"Krosnowice H-2";2024-09-13 17:56:25;230,42
"Krosnowice H-2";2024-09-13 18:11:35;233,753
"Krosnowice H-2";2024-09-13 18:26:46;236,946
"Krosnowice H-2";2024-09-13 18:41:57;240,279
"Krosnowice H-2";2024-09-13 18:57:06;243,773
"Krosnowice H-2";2024-09-13 19:12:15;247,508
"Krosnowice H-2";2024-09-13 19:27:28;251,484
"Krosnowice H-2";2024-09-13 19:42:37;255,821
"Krosnowice H-2";2024-09-13 19:57:50;260,199
"Krosnowice H-2";2024-09-13 20:13:00;264,697
"Krosnowice H-2";2024-09-13 20:28:09;269,275
"Krosnowice H-2";2024-09-13 20:43:18;273,311
"Krosnowice H-2";2024-09-13 20:58:27;277,829
"Krosnowice H-2";2024-09-13 21:13:35;282,729
"Krosnowice H-2";2024-09-13 21:28:45;288,07
"Krosnowice H-2";2024-09-13 21:43:54;293,11
"Krosnowice H-2";2024-09-13 21:58:59;296,845
"Krosnowice H-2";2024-09-13 22:14:10;301,303
"Krosnowice H-2";2024-09-13 22:29:17;306,062
"Krosnowice H-2";2024-09-13 22:44:32;309,677
"Krosnowice H-2";2024-09-13 22:59:39;313,572
"Krosnowice H-2";2024-09-13 23:14:44;317,347
"Krosnowice H-2";2024-09-13 23:30:59;321,062
"Krosnowice H-2";2024-09-13 23:45:00;325,018
"Krosnowice H-2";2024-09-14 00:00:07;328,251
"Krosnowice H-2";2024-09-14 00:15:21;331,062
"Krosnowice H-2";2024-09-14 00:30:32;334,376
"Krosnowice H-2";2024-09-14 00:45:41;337,347
"Krosnowice H-2";2024-09-14 01:00:47;340,882
"Krosnowice H-2";2024-09-14 01:15:53;345,339
"Krosnowice H-2";2024-09-14 01:31:05;348,633
"Krosnowice H-2";2024-09-14 01:46:15;351,363
"Krosnowice H-2";2024-09-14 02:01:25;354,215
"Krosnowice H-2";2024-09-14 02:16:33;356,584
"Krosnowice H-2";2024-09-14 02:31:44;358,512
"Krosnowice H-2";2024-09-14 02:46:52;360,44
"Krosnowice H-2";2024-09-14 03:03:16;362,829
"Krosnowice H-2";2024-09-14 03:17:13;365,058
"Krosnowice H-2";2024-09-14 03:32:19;366,223
"Krosnowice H-2";2024-09-14 03:47:31;367,849
"Krosnowice H-2";2024-09-14 04:02:44;369,516
"Krosnowice H-2";2024-09-14 04:17:49;369,355
"Krosnowice H-2";2024-09-14 04:33:00;369,637
"Krosnowice H-2";2024-09-14 04:48:10;369,596
"Krosnowice H-2";2024-09-14 05:03:16;369,998
"Krosnowice H-2";2024-09-14 05:18:22;371,584
"Krosnowice H-2";2024-09-14 05:33:35;371,444
"Krosnowice H-2";2024-09-14 05:48:46;370,841
"Krosnowice H-2";2024-09-14 06:03:54;370,259
"Krosnowice H-2";2024-09-14 06:19:03;369,195
"Krosnowice H-2";2024-09-14 06:34:10;368,874
"Krosnowice H-2";2024-09-14 06:49:14;369,476
"Krosnowice H-2";2024-09-14 07:04:24;368,432
"Krosnowice H-2";2024-09-14 07:19:34;368,191
"Krosnowice H-2";2024-09-14 07:34:46;370,139
"Krosnowice H-2";2024-09-14 07:49:54;371,444
"Krosnowice H-2";2024-09-14 08:05:04;371,865
"Krosnowice H-2";2024-09-14 08:20:12;372,709
"Krosnowice H-2";2024-09-14 08:35:21;374,396
"Krosnowice H-2";2024-09-14 08:50:35;373,813
"Krosnowice H-2";2024-09-14 09:05:44;372,729
"Krosnowice H-2";2024-09-14 09:20:53;373,653
"Krosnowice H-2";2024-09-14 09:36:03;374,456
"Krosnowice H-2";2024-09-14 09:51:13;374,737
"Krosnowice H-2";2024-09-14 10:06:18;374,616
"Krosnowice H-2";2024-09-14 10:21:34;374,416
"Krosnowice H-2";2024-09-14 10:36:41;374,797
"Krosnowice H-2";2024-09-14 10:51:44;374,496
"Krosnowice H-2";2024-09-14 11:06:58;374,034
"Krosnowice H-2";2024-09-14 11:22:05;374,496
"Krosnowice H-2";2024-09-14 11:37:19;374,014
"Krosnowice H-2";2024-09-14 11:52:24;372,649
"Krosnowice H-2";2024-09-14 12:07:38;372,528
"Krosnowice H-2";2024-09-14 12:22:43;372,568
