Stacja;Czas pomiaru;Woda
"Kudowa-Zdrój H-17";2024-09-13 00:01:04;241,984
"Kudowa-Zdrój H-17";2024-09-13 00:16:08;241,964
"Kudowa-Zdrój H-17";2024-09-13 00:31:17;242,085
"Kudowa-Zdrój H-17";2024-09-13 00:46:28;242,166
"Kudowa-Zdrój H-17";2024-09-13 01:01:37;242,166
"Kudowa-Zdrój H-17";2024-09-13 01:16:40;242,045
"Kudowa-Zdrój H-17";2024-09-13 01:31:51;242,166
"Kudowa-Zdrój H-17";2024-09-13 01:46:59;242,489
"Kudowa-Zdrój H-17";2024-09-13 02:02:05;242,448
"Kudowa-Zdrój H-17";2024-09-13 02:17:16;242,59
"Kudowa-Zdrój H-17";2024-09-13 02:32:24;242,852
"Kudowa-Zdrój H-17";2024-09-13 02:47:34;243,054
"Kudowa-Zdrój H-17";2024-09-13 03:03:25;243,134
"Kudowa-Zdrój H-17";2024-09-13 03:17:58;243,175
"Kudowa-Zdrój H-17";2024-09-13 03:33:02;243,861
"Kudowa-Zdrój H-17";2024-09-13 03:48:13;244,526
"Kudowa-Zdrój H-17";2024-09-13 04:03:19;245,01
"Kudowa-Zdrój H-17";2024-09-13 04:18:22;245,353
"Kudowa-Zdrój H-17";2024-09-13 04:33:34;245,515
"Kudowa-Zdrój H-17";2024-09-13 04:50:20;245,999
"Kudowa-Zdrój H-17";2024-09-13 05:04:03;246,725
"Kudowa-Zdrój H-17";2024-09-13 05:19:08;247,451
"Kudowa-Zdrój H-17";2024-09-13 05:34:20;247,694
"Kudowa-Zdrój H-17";2024-09-13 05:49:28;247,855
"Kudowa-Zdrój H-17";2024-09-13 06:04:41;248,299
"Kudowa-Zdrój H-17";2024-09-13 06:19:49;248,884
"Kudowa-Zdrój H-17";2024-09-13 06:35:02;249,57
"Kudowa-Zdrój H-17";2024-09-13 06:50:09;249,852
"Kudowa-Zdrój H-17";2024-09-13 07:06:52;249,872
"Kudowa-Zdrój H-17";2024-09-13 07:21:07;250,235
"Kudowa-Zdrój H-17";2024-09-13 07:35:27;250,518
"Kudowa-Zdrój H-17";2024-09-13 07:53:01;250,437
"Kudowa-Zdrój H-17";2024-09-13 08:06:47;250,437
"Kudowa-Zdrój H-17";2024-09-13 08:21:08;250,437
"Kudowa-Zdrój H-17";2024-09-13 08:36:20;250,437
"Kudowa-Zdrój H-17";2024-09-13 08:51:25;252,838
"Kudowa-Zdrój H-17";2024-09-13 09:06:31;255,521
"Kudowa-Zdrój H-17";2024-09-13 09:22:35;256,227
"Kudowa-Zdrój H-17";2024-09-13 09:37:40;254,432
"Kudowa-Zdrój H-17";2024-09-13 09:51:59;254,835
"Kudowa-Zdrój H-17";2024-09-13 10:08:12;257,397
"Kudowa-Zdrój H-17";2024-09-13 10:22:22;258,345
"Kudowa-Zdrój H-17";2024-09-13 10:38:41;259,354
"Kudowa-Zdrój H-17";2024-09-13 10:54:02;259,273
"Kudowa-Zdrój H-17";2024-09-13 11:07:47;258,87
"Kudowa-Zdrój H-17";2024-09-13 11:22:58;258,507
"Kudowa-Zdrój H-17";2024-09-13 11:38:02;258,386
"Kudowa-Zdrój H-17";2024-09-13 11:53:14;258,345
"Kudowa-Zdrój H-17";2024-09-13 12:08:21;258,527
"Kudowa-Zdrój H-17";2024-09-13 12:23:32;259,031
"Kudowa-Zdrój H-17";2024-09-13 12:38:38;259,535
"Kudowa-Zdrój H-17";2024-09-13 12:53:46;259,919
"Kudowa-Zdrój H-17";2024-09-13 13:09:01;260,181
"Kudowa-Zdrój H-17";2024-09-13 13:24:11;260,847
"Kudowa-Zdrój H-17";2024-09-13 13:39:17;261,674
"Kudowa-Zdrój H-17";2024-09-13 13:54:22;262,037
"Kudowa-Zdrój H-17";2024-09-13 14:09:42;262,501
"Kudowa-Zdrój H-17";2024-09-13 14:25:00;263,146
"Kudowa-Zdrój H-17";2024-09-13 14:40:06;263,812
"Kudowa-Zdrój H-17";2024-09-13 14:55:11;264,357
"Kudowa-Zdrój H-17";2024-09-13 15:10:16;265,204
"Kudowa-Zdrój H-17";2024-09-13 15:26:16;266,092
"Kudowa-Zdrój H-17";2024-09-13 15:40:39;266,899
"Kudowa-Zdrój H-17";2024-09-13 15:55:46;267,585
"Kudowa-Zdrój H-17";2024-09-13 16:10:57;268,492
"Kudowa-Zdrój H-17";2024-09-13 16:26:04;269,118
"Kudowa-Zdrój H-17";2024-09-13 16:41:10;269,32
"Kudowa-Zdrój H-17";2024-09-13 16:56:20;269,965
"Kudowa-Zdrój H-17";2024-09-13 17:12:25;271,297
"Kudowa-Zdrój H-17";2024-09-13 17:27:31;271,861
"Kudowa-Zdrój H-17";2024-09-13 17:41:45;271,982
"Kudowa-Zdrój H-17";2024-09-13 17:56:53;272,749
"Kudowa-Zdrój H-17";2024-09-13 18:12:57;273,758
"Kudowa-Zdrój H-17";2024-09-13 18:27:19;275,654
"Kudowa-Zdrój H-17";2024-09-13 18:42:26;277,066
"Kudowa-Zdrój H-17";2024-09-13 18:58:33;278,7
"Kudowa-Zdrój H-17";2024-09-13 19:12:42;279,648
"Kudowa-Zdrój H-17";2024-09-13 19:27:51;280,032
"Kudowa-Zdrój H-17";2024-09-13 19:43:01;281,222
"Kudowa-Zdrój H-17";2024-09-13 19:59:02;283,179
"Kudowa-Zdrój H-17";2024-09-13 20:13:27;284,591
"Kudowa-Zdrój H-17";2024-09-13 20:28:35;287,213
"Kudowa-Zdrój H-17";2024-09-13 20:43:39;291,51
"Kudowa-Zdrój H-17";2024-09-13 20:58:52;294,557
"Kudowa-Zdrój H-17";2024-09-13 21:14:03;297,905
"Kudowa-Zdrój H-17";2024-09-13 21:29:14;301,597
"Kudowa-Zdrój H-17";2024-09-13 21:44:26;302,908
"Kudowa-Zdrój H-17";2024-09-13 21:59:26;303,978
"Kudowa-Zdrój H-17";2024-09-13 22:14:37;305,591
"Kudowa-Zdrój H-17";2024-09-13 22:29:45;307,145
"Kudowa-Zdrój H-17";2024-09-13 22:44:58;307,73
"Kudowa-Zdrój H-17";2024-09-13 23:00:06;306,943
"Kudowa-Zdrój H-17";2024-09-13 23:15:14;306,741
"Kudowa-Zdrój H-17";2024-09-13 23:30:21;307,084
"Kudowa-Zdrój H-17";2024-09-13 23:45:27;307,669
"Kudowa-Zdrój H-17";2024-09-14 00:00:30;307,629
"Kudowa-Zdrój H-17";2024-09-14 00:15:49;307,77
"Kudowa-Zdrój H-17";2024-09-14 00:30:58;306,862
"Kudowa-Zdrój H-17";2024-09-14 00:46:55;303,251
"Kudowa-Zdrój H-17";2024-09-14 01:01:14;301,94
"Kudowa-Zdrój H-17";2024-09-14 01:16:21;302,364
"Kudowa-Zdrój H-17";2024-09-14 01:31:27;301,234
"Kudowa-Zdrój H-17";2024-09-14 01:46:44;301,92
"Kudowa-Zdrój H-17";2024-09-14 02:01:56;302,404
"Kudowa-Zdrój H-17";2024-09-14 02:16:59;302,021
"Kudowa-Zdrój H-17";2024-09-14 02:32:07;300,73
"Kudowa-Zdrój H-17";2024-09-14 02:47:15;298,107
"Kudowa-Zdrój H-17";2024-09-14 03:02:37;298,49
"Kudowa-Zdrój H-17";2024-09-14 03:17:38;299,338
"Kudowa-Zdrój H-17";2024-09-14 03:32:44;297,522
"Kudowa-Zdrój H-17";2024-09-14 03:47:57;296,433
"Kudowa-Zdrój H-17";2024-09-14 04:04:11;295,706
"Kudowa-Zdrój H-17";2024-09-14 04:19:33;294,94
"Kudowa-Zdrój H-17";2024-09-14 04:33:26;294,294
"Kudowa-Zdrój H-17";2024-09-14 04:48:36;294,173
"Kudowa-Zdrój H-17";2024-09-14 05:03:40;294,093
"Kudowa-Zdrój H-17";2024-09-14 05:19:54;293,528
"Kudowa-Zdrój H-17";2024-09-14 05:35:05;292,176
"Kudowa-Zdrój H-17";2024-09-14 05:49:11;291,47
"Kudowa-Zdrój H-17";2024-09-14 06:05:15;292,317
"Kudowa-Zdrój H-17";2024-09-14 06:20:24;291,611
"Kudowa-Zdrój H-17";2024-09-14 06:34:37;290,784
"Kudowa-Zdrój H-17";2024-09-14 06:49:37;289,271
"Kudowa-Zdrój H-17";2024-09-14 07:06:11;288,767
"Kudowa-Zdrój H-17";2024-09-14 07:20:01;289,533
"Kudowa-Zdrój H-17";2024-09-14 07:36:03;289,453
"Kudowa-Zdrój H-17";2024-09-14 07:50:22;287,718
"Kudowa-Zdrój H-17";2024-09-14 08:05:33;287,153
