Stacja;Czas pomiaru;Woda
"Lądek-Zdrój H-14";2024-09-13 00:01:49;56,371
"Lądek-Zdrój H-14";2024-09-13 00:16:04;56,9793
"Lądek-Zdrój H-14";2024-09-13 00:31:13;57,5065
"Lądek-Zdrój H-14";2024-09-13 00:46:24;58,5203
"Lądek-Zdrój H-14";2024-09-13 01:01:32;58,723
"Lądek-Zdrój H-14";2024-09-13 01:16:36;58,9258
"Lądek-Zdrój H-14";2024-09-13 01:31:47;59,8585
"Lądek-Zdrój H-14";2024-09-13 01:46:55;60,264
"Lądek-Zdrój H-14";2024-09-13 02:02:01;60,3451
"Lądek-Zdrój H-14";2024-09-13 02:17:11;60,9939
"Lądek-Zdrój H-14";2024-09-13 02:32:19;61,6225
"Lądek-Zdrój H-14";2024-09-13 02:47:29;62,0077
"Lądek-Zdrój H-14";2024-09-13 03:02:39;62,5349
"Lądek-Zdrój H-14";2024-09-13 03:18:42;62,7174
"Lądek-Zdrój H-14";2024-09-13 03:32:58;63,1431
"Lądek-Zdrój H-14";2024-09-13 03:48:09;63,9947
"Lądek-Zdrój H-14";2024-09-13 04:03:15;64,4813
"Lądek-Zdrój H-14";2024-09-13 04:18:17;64,603
"Lądek-Zdrój H-14";2024-09-13 04:33:30;65,2113
"Lądek-Zdrój H-14";2024-09-13 04:49:52;65,6979
"Lądek-Zdrój H-14";2024-09-13 05:03:59;66,0831
"Lądek-Zdrój H-14";2024-09-13 05:19:04;66,7522
"Lądek-Zdrój H-14";2024-09-13 05:34:16;67,1983
"Lądek-Zdrój H-14";2024-09-13 05:49:24;67,8066
"Lądek-Zdrój H-14";2024-09-13 06:05:23;68,2121
"Lądek-Zdrój H-14";2024-09-13 06:19:45;68,2526
"Lądek-Zdrój H-14";2024-09-13 06:34:58;68,577
"Lądek-Zdrój H-14";2024-09-13 06:50:05;69,5097
"Lądek-Zdrój H-14";2024-09-13 07:06:23;69,9963
"Lądek-Zdrój H-14";2024-09-13 07:20:17;70,2194
"Lądek-Zdrój H-14";2024-09-13 07:36:20;70,8885
"Lądek-Zdrój H-14";2024-09-13 07:50:40;72,1456
"Lądek-Zdrój H-14";2024-09-13 08:05:49;73,1796
"Lądek-Zdrój H-14";2024-09-13 08:21:02;73,1999
"Lądek-Zdrój H-14";2024-09-13 08:36:13;73,1594
"Lądek-Zdrój H-14";2024-09-13 08:51:21;73,5243
"Lądek-Zdrój H-14";2024-09-13 09:06:27;72,4294
"Lądek-Zdrój H-14";2024-09-13 09:21:35;71,6387
"Lądek-Zdrój H-14";2024-09-13 09:36:43;72,4294
"Lądek-Zdrój H-14";2024-09-13 09:52:52;72,3281
"Lądek-Zdrój H-14";2024-09-13 10:06:54;72,0239
"Lądek-Zdrój H-14";2024-09-13 10:22:17;72,5714
"Lądek-Zdrój H-14";2024-09-13 10:37:24;73,1594
"Lądek-Zdrój H-14";2024-09-13 10:52:35;72,8755
"Lądek-Zdrój H-14";2024-09-13 11:07:43;72,9161
"Lądek-Zdrój H-14";2024-09-13 11:23:47;73,2405
"Lądek-Zdrój H-14";2024-09-13 11:37:58;73,0783
"Lądek-Zdrój H-14";2024-09-13 11:53:10;73,6663
"Lądek-Zdrój H-14";2024-09-13 12:08:16;74,7206
"Lądek-Zdrój H-14";2024-09-13 12:23:27;75,2275
"Lądek-Zdrój H-14";2024-09-13 12:38:34;75,8763
"Lądek-Zdrój H-14";2024-09-13 12:53:42;76,9104
"Lądek-Zdrój H-14";2024-09-13 13:08:55;78,5527
"Lądek-Zdrój H-14";2024-09-13 13:25:04;80,337
"Lądek-Zdrój H-14";2024-09-13 13:39:13;81,6752
"Lądek-Zdrój H-14";2024-09-13 13:54:18;84,0677
"Lądek-Zdrój H-14";2024-09-13 14:09:38;87,0685
"Lądek-Zdrój H-14";2024-09-13 14:25:45;89,603
"Lądek-Zdrój H-14";2024-09-13 14:40:01;90,8398
"Lądek-Zdrój H-14";2024-09-13 14:55:07;91,6914
"Lądek-Zdrój H-14";2024-09-13 15:10:12;94,0434
"Lądek-Zdrój H-14";2024-09-13 15:25:23;95,2194
"Lądek-Zdrój H-14";2024-09-13 15:40:34;95,9493
