Stacja;Czas pomiaru;Woda
"St. Bystrzyca H-10";2024-09-17 00:10:13;111,516
"St. Bystrzyca H-10";2024-09-17 00:25:19;110,767
"St. Bystrzyca H-10";2024-09-17 00:40:22;110,302
"St. Bystrzyca H-10";2024-09-17 00:55:29;111,03
"St. Bystrzyca H-10";2024-09-17 01:10:40;111,152
"St. Bystrzyca H-10";2024-09-17 01:25:40;109,452
"St. Bystrzyca H-10";2024-09-17 01:40:54;108,784
"St. Bystrzyca H-10";2024-09-17 01:56:00;108,602
"St. Bystrzyca H-10";2024-09-17 02:12:51;108,359
"St. Bystrzyca H-10";2024-09-17 02:26:11;109,249
"St. Bystrzyca H-10";2024-09-17 02:41:18;108,764
"St. Bystrzyca H-10";2024-09-17 02:56:35;107,104
"St. Bystrzyca H-10";2024-09-17 03:11:47;106,861
"St. Bystrzyca H-10";2024-09-17 03:26:55;107,63
"St. Bystrzyca H-10";2024-09-17 03:42:00;107,57
"St. Bystrzyca H-10";2024-09-17 03:57:11;107,63
"St. Bystrzyca H-10";2024-09-17 04:13:29;107,711
"St. Bystrzyca H-10";2024-09-17 04:27:29;107,549
"St. Bystrzyca H-10";2024-09-17 04:42:38;106,983
"St. Bystrzyca H-10";2024-09-17 04:57:43;106,699
"St. Bystrzyca H-10";2024-09-17 05:12:55;106,719
"St. Bystrzyca H-10";2024-09-17 05:29:09;106,011
"St. Bystrzyca H-10";2024-09-17 05:43:08;105,768
"St. Bystrzyca H-10";2024-09-17 05:58:16;106,214
"St. Bystrzyca H-10";2024-09-17 06:13:19;106,052
"St. Bystrzyca H-10";2024-09-17 06:28:26;105,566
"St. Bystrzyca H-10";2024-09-17 06:44:46;105,08
"St. Bystrzyca H-10";2024-09-17 06:58:42;104,271
"St. Bystrzyca H-10";2024-09-17 07:13:51;104,635
"St. Bystrzyca H-10";2024-09-17 07:28:58;105,384
"St. Bystrzyca H-10";2024-09-17 07:44:11;104,797
"St. Bystrzyca H-10";2024-09-17 07:59:16;104,716
"St. Bystrzyca H-10";2024-09-17 08:14:23;104,635
"St. Bystrzyca H-10";2024-09-17 08:29:30;104,271
"St. Bystrzyca H-10";2024-09-17 08:44:35;104,19
"St. Bystrzyca H-10";2024-09-17 08:59:39;104,007
"St. Bystrzyca H-10";2024-09-17 09:14:45;103,663
"St. Bystrzyca H-10";2024-09-17 09:31:05;103,704
"St. Bystrzyca H-10";2024-09-17 09:46:17;103,663
"St. Bystrzyca H-10";2024-09-17 10:00:09;103,542
"St. Bystrzyca H-10";2024-09-17 10:15:23;103,886
"St. Bystrzyca H-10";2024-09-17 10:30:28;103,34
"St. Bystrzyca H-10";2024-09-17 10:45:34;103,056
"St. Bystrzyca H-10";2024-09-17 11:00:41;103,178
"St. Bystrzyca H-10";2024-09-17 11:15:56;103,076
"St. Bystrzyca H-10";2024-09-17 11:32:20;102,975
"St. Bystrzyca H-10";2024-09-17 11:46:15;102,854
"St. Bystrzyca H-10";2024-09-17 12:01:22;102,591
"St. Bystrzyca H-10";2024-09-17 12:16:29;102,53
"St. Bystrzyca H-10";2024-09-17 12:31:37;102,186
"St. Bystrzyca H-10";2024-09-17 12:46:42;101,761
"St. Bystrzyca H-10";2024-09-17 13:01:50;101,761
"St. Bystrzyca H-10";2024-09-17 13:16:57;101,134
"St. Bystrzyca H-10";2024-09-17 13:32:04;101,073
"St. Bystrzyca H-10";2024-09-17 13:47:13;101,437
"St. Bystrzyca H-10";2024-09-17 14:02:19;100,951
"St. Bystrzyca H-10";2024-09-17 14:17:23;100,709
"St. Bystrzyca H-10";2024-09-17 14:32:34;101,113
"St. Bystrzyca H-10";2024-09-17 14:47:40;100,911
"St. Bystrzyca H-10";2024-09-17 15:02:40;100,162
"St. Bystrzyca H-10";2024-09-17 15:18:01;99,6561
"St. Bystrzyca H-10";2024-09-17 15:33:12;99,98
"St. Bystrzyca H-10";2024-09-17 15:48:14;99,7573
"St. Bystrzyca H-10";2024-09-17 16:04:32;98,6442
"St. Bystrzyca H-10";2024-09-17 16:20:19;98,5228
"St. Bystrzyca H-10";2024-09-17 16:33:50;98,7656
"St. Bystrzyca H-10";2024-09-17 16:48:57;98,2192
"St. Bystrzyca H-10";2024-09-17 17:04:05;98,4823
"St. Bystrzyca H-10";2024-09-17 17:19:16;98,8871
"St. Bystrzyca H-10";2024-09-17 17:34:21;98,5228
"St. Bystrzyca H-10";2024-09-17 17:49:26;98,3001
"St. Bystrzyca H-10";2024-09-17 18:04:41;98,3204
"St. Bystrzyca H-10";2024-09-17 18:19:51;98,4823
"St. Bystrzyca H-10";2024-09-17 18:36:05;98,7252
"St. Bystrzyca H-10";2024-09-17 18:50:09;98,118
"St. Bystrzyca H-10";2024-09-17 19:05:11;97,5108
"St. Bystrzyca H-10";2024-09-17 19:20:25;97,3894
"St. Bystrzyca H-10";2024-09-17 19:35:31;96,5394
"St. Bystrzyca H-10";2024-09-17 19:50:42;96,3774
"St. Bystrzyca H-10";2024-09-17 20:06:55;97,0251
"St. Bystrzyca H-10";2024-09-17 20:20:59;97,3084
"St. Bystrzyca H-10";2024-09-17 20:36:07;96,7822
"St. Bystrzyca H-10";2024-09-17 20:51:14;96,5798
"St. Bystrzyca H-10";2024-09-17 21:06:21;96,2965
"St. Bystrzyca H-10";2024-09-17 21:21:27;96,2763
"St. Bystrzyca H-10";2024-09-17 21:36:35;96,5191
"St. Bystrzyca H-10";2024-09-17 21:51:45;95,9727
"St. Bystrzyca H-10";2024-09-17 22:06:57;96,0132
"St. Bystrzyca H-10";2024-09-17 22:22:08;96,0334
"St. Bystrzyca H-10";2024-09-17 22:37:18;95,6488
"St. Bystrzyca H-10";2024-09-17 22:52:26;95,406
"St. Bystrzyca H-10";2024-09-17 23:07:32;95,6488
"St. Bystrzyca H-10";2024-09-17 23:22:38;95,5274
"St. Bystrzyca H-10";2024-09-17 23:37:52;95,0417
"St. Bystrzyca H-10";2024-09-17 23:54:00;94,9607
"St. Bystrzyca H-10";2024-09-18 00:08:08;95,0214
"St. Bystrzyca H-10";2024-09-18 00:24:25;94,7786
"St. Bystrzyca H-10";2024-09-18 00:38:25;93,8274
"St. Bystrzyca H-10";2024-09-18 00:53:32;93,6655
"St. Bystrzyca H-10";2024-09-18 01:08:41;94,2929
"St. Bystrzyca H-10";2024-09-18 01:24:53;94,1107
"St. Bystrzyca H-10";2024-09-18 01:39:01;94,1107
"St. Bystrzyca H-10";2024-09-18 01:54:17;94,5155
"St. Bystrzyca H-10";2024-09-18 02:10:32;94,2321
"St. Bystrzyca H-10";2024-09-18 02:24:31;93,8881
"St. Bystrzyca H-10";2024-09-18 02:39:46;93,7059
"St. Bystrzyca H-10";2024-09-18 02:54:56;93,7059
"St. Bystrzyca H-10";2024-09-18 03:11:03;93,7869
"St. Bystrzyca H-10";2024-09-18 03:25:13;93,5238
"St. Bystrzyca H-10";2024-09-18 03:40:27;92,9369
"St. Bystrzyca H-10";2024-09-18 03:56:33;92,6535
"St. Bystrzyca H-10";2024-09-18 04:10:47;92,694
"St. Bystrzyca H-10";2024-09-18 04:25:50;92,6535
"St. Bystrzyca H-10";2024-09-18 04:40:59;92,7749
"St. Bystrzyca H-10";2024-09-18 04:56:10;92,8357
"St. Bystrzyca H-10";2024-09-18 05:11:17;92,1475
"St. Bystrzyca H-10";2024-09-18 05:26:23;91,844
"St. Bystrzyca H-10";2024-09-18 05:41:30;91,9654
"St. Bystrzyca H-10";2024-09-18 05:56:38;91,9249
"St. Bystrzyca H-10";2024-09-18 06:12:47;92,5321
"St. Bystrzyca H-10";2024-09-18 06:26:54;92,3702
"St. Bystrzyca H-10";2024-09-18 06:41:57;92,1071
"St. Bystrzyca H-10";2024-09-18 06:57:10;92,3904
"St. Bystrzyca H-10";2024-09-18 07:12:16;91,763
"St. Bystrzyca H-10";2024-09-18 07:27:24;91,5606
"St. Bystrzyca H-10";2024-09-18 07:42:31;91,7023
"St. Bystrzyca H-10";2024-09-18 07:57:39;91,6011
"St. Bystrzyca H-10";2024-09-18 08:12:51;91,4999
"St. Bystrzyca H-10";2024-09-18 08:28:00;91,2975
"St. Bystrzyca H-10";2024-09-18 08:43:17;91,0344
"St. Bystrzyca H-10";2024-09-18 08:58:25;91,1154
"St. Bystrzyca H-10";2024-09-18 09:13:32;90,8725
"St. Bystrzyca H-10";2024-09-18 09:28:40;90,5487
"St. Bystrzyca H-10";2024-09-18 09:43:46;90,6701
"St. Bystrzyca H-10";2024-09-18 09:58:51;90,7106
"St. Bystrzyca H-10";2024-09-18 10:14:02;90,5891
