Stacja;Czas pomiaru;Woda
"Stronie Śląskie H-12";2024-09-13 00:00:55;92,4692
"Stronie Śląskie H-12";2024-09-13 00:16:01;92,8123
"Stronie Śląskie H-12";2024-09-13 00:31:10;93,2563
"Stronie Śląskie H-12";2024-09-13 00:47:28;93,2361
"Stronie Śląskie H-12";2024-09-13 01:01:29;93,2361
"Stronie Śląskie H-12";2024-09-13 01:16:33;93,9223
"Stronie Śląskie H-12";2024-09-13 01:32:39;94,7497
"Stronie Śląskie H-12";2024-09-13 01:46:52;94,8103
"Stronie Śląskie H-12";2024-09-13 02:01:58;94,8708
"Stronie Śląskie H-12";2024-09-13 02:17:08;95,4965
"Stronie Śląskie H-12";2024-09-13 02:33:03;95,9405
"Stronie Śląskie H-12";2024-09-13 02:48:25;95,9405
"Stronie Śląskie H-12";2024-09-13 03:02:36;95,9405
"Stronie Śląskie H-12";2024-09-13 03:18:41;96,3037
"Stronie Śląskie H-12";2024-09-13 03:32:55;96,5863
"Stronie Śląskie H-12";2024-09-13 03:48:06;96,9495
"Stronie Śląskie H-12";2024-09-13 04:04:06;97,7164
"Stronie Śląskie H-12";2024-09-13 04:18:14;97,7972
"Stronie Śląskie H-12";2024-09-13 04:33:27;97,5348
"Stronie Śląskie H-12";2024-09-13 04:48:42;97,5954
"Stronie Śląskie H-12";2024-09-13 05:04:42;97,8174
"Stronie Śląskie H-12";2024-09-13 05:19:57;98,2815
"Stronie Śląskie H-12";2024-09-13 05:35:23;99,331
"Stronie Śląskie H-12";2024-09-13 05:49:18;100,037
"Stronie Śląskie H-12";2024-09-13 06:04:31;99,8961
"Stronie Śląskie H-12";2024-09-13 06:19:42;99,8557
"Stronie Śląskie H-12";2024-09-13 06:34:55;99,9364
"Stronie Śląskie H-12";2024-09-13 06:49:59;100,259
"Stronie Śląskie H-12";2024-09-13 07:05:08;100,542
"Stronie Śląskie H-12";2024-09-13 07:20:14;100,784
"Stronie Śląskie H-12";2024-09-13 07:35:17;100,905
"Stronie Śląskie H-12";2024-09-13 07:50:37;101,228
"Stronie Śląskie H-12";2024-09-13 08:05:46;101,833
"Stronie Śląskie H-12";2024-09-13 08:20:59;102,156
"Stronie Śląskie H-12";2024-09-13 08:37:05;102,277
"Stronie Śląskie H-12";2024-09-13 08:51:18;101,955
"Stronie Śląskie H-12";2024-09-13 09:06:24;101,672
"Stronie Śląskie H-12";2024-09-13 09:21:32;101,874
"Stronie Śląskie H-12";2024-09-13 09:36:40;101,955
"Stronie Śląskie H-12";2024-09-13 09:51:51;101,995
"Stronie Śląskie H-12";2024-09-13 10:06:50;101,652
"Stronie Śląskie H-12";2024-09-13 10:22:12;101,006
"Stronie Śląskie H-12";2024-09-13 10:38:48;101,168
"Stronie Śląskie H-12";2024-09-13 10:54:00;102,116
"Stronie Śląskie H-12";2024-09-13 11:07:40;102,621
"Stronie Śląskie H-12";2024-09-13 11:23:35;102,964
"Stronie Śląskie H-12";2024-09-13 11:37:55;103,246
"Stronie Śląskie H-12";2024-09-13 11:53:04;103,731
"Stronie Śląskie H-12";2024-09-13 12:08:13;105,204
"Stronie Śląskie H-12";2024-09-13 12:23:22;107,04
"Stronie Śląskie H-12";2024-09-13 12:38:31;107,767
"Stronie Śląskie H-12";2024-09-13 12:54:40;108,251
"Stronie Śląskie H-12";2024-09-13 13:08:52;109,321
"Stronie Śląskie H-12";2024-09-13 13:25:02;110,956
"Stronie Śląskie H-12";2024-09-13 13:39:10;112,57
"Stronie Śląskie H-12";2024-09-13 13:55:17;113,377
"Stronie Śląskie H-12";2024-09-13 14:09:35;114,588
"Stronie Śląskie H-12";2024-09-13 14:25:44;115,153
"Stronie Śląskie H-12";2024-09-13 14:39:58;115,436
"Stronie Śląskie H-12";2024-09-13 14:55:04;116,97
"Stronie Śląskie H-12";2024-09-13 15:10:09;118,948
"Stronie Śląskie H-12";2024-09-13 15:26:15;121,228
"Stronie Śląskie H-12";2024-09-13 15:40:29;121,733
"Stronie Śląskie H-12";2024-09-13 15:55:36;122,298
"Stronie Śląskie H-12";2024-09-13 16:10:48;123,387
"Stronie Śląskie H-12";2024-09-13 16:25:54;123,63
"Stronie Śląskie H-12";2024-09-13 16:41:00;123,993
"Stronie Śląskie H-12";2024-09-13 16:56:13;124,074
"Stronie Śląskie H-12";2024-09-13 17:12:22;124,921
"Stronie Śląskie H-12";2024-09-13 17:26:25;128,15
"Stronie Śląskie H-12";2024-09-13 17:41:37;132,308
"Stronie Śląskie H-12";2024-09-13 17:56:43;133,236
"Stronie Śląskie H-12";2024-09-13 18:11:56;133,236
"Stronie Śląskie H-12";2024-09-13 18:27:11;134,447
"Stronie Śląskie H-12";2024-09-13 18:42:16;135,254
"Stronie Śląskie H-12";2024-09-13 18:58:45;136,021
"Stronie Śląskie H-12";2024-09-13 19:12:33;137,494
"Stronie Śląskie H-12";2024-09-13 19:27:44;139,371
"Stronie Śląskie H-12";2024-09-13 19:43:45;140,643
"Stronie Śląskie H-12";2024-09-13 19:59:04;141,712
"Stronie Śląskie H-12";2024-09-13 20:13:17;143,085
"Stronie Śląskie H-12";2024-09-13 20:29:39;143,751
"Stronie Śląskie H-12";2024-09-13 20:43:31;144,78
"Stronie Śląskie H-12";2024-09-13 20:58:45;145,89
