Stacja;Czas pomiaru;Woda
"Szalejów Dolny H-4";2024-09-13 00:00:37;147,138
"Szalejów Dolny H-4";2024-09-13 00:15:47;147,68
"Szalejów Dolny H-4";2024-09-13 00:30:56;148,583
"Szalejów Dolny H-4";2024-09-13 00:46:03;148,924
"Szalejów Dolny H-4";2024-09-13 01:01:09;149,104
"Szalejów Dolny H-4";2024-09-13 01:16:18;149,245
"Szalejów Dolny H-4";2024-09-13 01:31:26;149,485
"Szalejów Dolny H-4";2024-09-13 01:46:33;149,967
"Szalejów Dolny H-4";2024-09-13 02:01:39;150,829
"Szalejów Dolny H-4";2024-09-13 02:16:54;151,331
"Szalejów Dolny H-4";2024-09-13 02:32:02;151,812
"Szalejów Dolny H-4";2024-09-13 02:47:09;153,337
"Szalejów Dolny H-4";2024-09-13 03:02:21;154,3
"Szalejów Dolny H-4";2024-09-13 03:17:32;154,621
"Szalejów Dolny H-4";2024-09-13 03:32:40;155,042
"Szalejów Dolny H-4";2024-09-13 03:47:49;155,503
"Szalejów Dolny H-4";2024-09-13 04:02:55;156,145
"Szalejów Dolny H-4";2024-09-13 04:18:01;156,787
"Szalejów Dolny H-4";2024-09-13 04:33:14;157,469
"Szalejów Dolny H-4";2024-09-13 04:48:27;158,472
"Szalejów Dolny H-4";2024-09-13 05:03:42;159,114
"Szalejów Dolny H-4";2024-09-13 05:18:48;160,077
"Szalejów Dolny H-4";2024-09-13 05:33:58;160,558
"Szalejów Dolny H-4";2024-09-13 05:49:05;160,92
"Szalejów Dolny H-4";2024-09-13 06:04:17;162,203
"Szalejów Dolny H-4";2024-09-13 06:19:25;163,066
"Szalejów Dolny H-4";2024-09-13 06:34:35;164,109
"Szalejów Dolny H-4";2024-09-13 06:49:41;165,533
"Szalejów Dolny H-4";2024-09-13 07:04:51;166,215
"Szalejów Dolny H-4";2024-09-13 07:19:59;166,215
"Szalejów Dolny H-4";2024-09-13 07:35:06;166,897
"Szalejów Dolny H-4";2024-09-13 07:50:20;168,221
"Szalejów Dolny H-4";2024-09-13 08:05:31;169,184
"Szalejów Dolny H-4";2024-09-13 08:20:42;170,629
"Szalejów Dolny H-4";2024-09-13 08:35:53;172,133
"Szalejów Dolny H-4";2024-09-13 08:51:00;173,437
"Szalejów Dolny H-4";2024-09-13 09:06:09;174,641
"Szalejów Dolny H-4";2024-09-13 09:21:15;175,202
"Szalejów Dolny H-4";2024-09-13 09:36:24;175,323
"Szalejów Dolny H-4";2024-09-13 09:52:42;175,804
"Szalejów Dolny H-4";2024-09-13 10:06:36;177,168
"Szalejów Dolny H-4";2024-09-13 10:21:55;177,931
"Szalejów Dolny H-4";2024-09-13 10:37:05;177,991
"Szalejów Dolny H-4";2024-09-13 10:52:13;178,693
"Szalejów Dolny H-4";2024-09-13 11:07:25;179,856
"Szalejów Dolny H-4";2024-09-13 11:22:33;180,98
"Szalejów Dolny H-4";2024-09-13 11:37:38;181,381
"Szalejów Dolny H-4";2024-09-13 11:52:47;182,003
"Szalejów Dolny H-4";2024-09-13 12:07:58;183,347
"Szalejów Dolny H-4";2024-09-13 12:23:04;183,748
"Szalejów Dolny H-4";2024-09-13 12:38:13;183,568
"Szalejów Dolny H-4";2024-09-13 12:53:22;184,129
"Szalejów Dolny H-4";2024-09-13 13:08:32;184,932
"Szalejów Dolny H-4";2024-09-13 13:23:47;185,273
"Szalejów Dolny H-4";2024-09-13 13:38:56;185,955
"Szalejów Dolny H-4";2024-09-13 13:54:03;186,837
"Szalejów Dolny H-4";2024-09-13 14:09:18;187,64
"Szalejów Dolny H-4";2024-09-13 14:24:32;188,663
"Szalejów Dolny H-4";2024-09-13 14:39:41;189,666
"Szalejów Dolny H-4";2024-09-13 14:54:48;190,328
"Szalejów Dolny H-4";2024-09-13 15:09:55;191,371
"Szalejów Dolny H-4";2024-09-13 15:25:07;192,835
"Szalejów Dolny H-4";2024-09-13 15:40:14;191,311
"Szalejów Dolny H-4";2024-09-13 15:55:21;177,81
"Szalejów Dolny H-4";2024-09-13 16:10:31;159,977
"Szalejów Dolny H-4";2024-09-13 16:25:38;152,575
"Szalejów Dolny H-4";2024-09-13 16:40:45;152,394
"Szalejów Dolny H-4";2024-09-13 16:55:55;154,179
"Szalejów Dolny H-4";2024-09-13 17:11:05;155,002
"Szalejów Dolny H-4";2024-09-13 17:26:09;156,346
"Szalejów Dolny H-4";2024-09-13 17:41:18;160,558
"Szalejów Dolny H-4";2024-09-13 17:56:27;164,55
"Szalejów Dolny H-4";2024-09-13 18:11:37;163,969
"Szalejów Dolny H-4";2024-09-13 18:26:50;162,966
"Szalejów Dolny H-4";2024-09-13 18:42:00;163,929
"Szalejów Dolny H-4";2024-09-13 18:57:08;165,052
"Szalejów Dolny H-4";2024-09-13 19:12:17;166,536
"Szalejów Dolny H-4";2024-09-13 19:27:31;168,362
"Szalejów Dolny H-4";2024-09-13 19:42:39;170,288
"Szalejów Dolny H-4";2024-09-13 19:57:52;171,973
"Szalejów Dolny H-4";2024-09-13 20:13:03;174,119
"Szalejów Dolny H-4";2024-09-13 20:28:11;175,925
"Szalejów Dolny H-4";2024-09-13 20:43:20;177,65
"Szalejów Dolny H-4";2024-09-13 20:58:30;180,137
"Szalejów Dolny H-4";2024-09-13 21:13:37;182,585
"Szalejów Dolny H-4";2024-09-13 21:28:47;185,152
"Szalejów Dolny H-4";2024-09-13 21:43:56;189,305
"Szalejów Dolny H-4";2024-09-13 21:59:02;193,939
"Szalejów Dolny H-4";2024-09-13 22:14:12;198,472
"Szalejów Dolny H-4";2024-09-13 22:29:19;204,41
"Szalejów Dolny H-4";2024-09-13 22:44:35;211,592
"Szalejów Dolny H-4";2024-09-13 22:59:41;218,893
"Szalejów Dolny H-4";2024-09-13 23:14:46;227,198
"Szalejów Dolny H-4";2024-09-13 23:29:57;235,644
"Szalejów Dolny H-4";2024-09-13 23:45:02;241,461
"Szalejów Dolny H-4";2024-09-14 00:00:11;244,831
"Szalejów Dolny H-4";2024-09-14 00:15:24;245,293
"Szalejów Dolny H-4";2024-09-14 00:30:34;243,808
"Szalejów Dolny H-4";2024-09-14 00:45:43;240,799
"Szalejów Dolny H-4";2024-09-14 01:00:51;235,403
"Szalejów Dolny H-4";2024-09-14 01:15:56;229,164
"Szalejów Dolny H-4";2024-09-14 01:31:07;222,845
"Szalejów Dolny H-4";2024-09-14 01:46:17;216,607
"Szalejów Dolny H-4";2024-09-14 02:01:28;211,792
"Szalejów Dolny H-4";2024-09-14 02:16:35;207,961
"Szalejów Dolny H-4";2024-09-14 02:31:46;204,651
"Szalejów Dolny H-4";2024-09-14 02:46:55;202,123
"Szalejów Dolny H-4";2024-09-14 03:02:09;199,736
"Szalejów Dolny H-4";2024-09-14 03:17:15;198,512
"Szalejów Dolny H-4";2024-09-14 03:32:22;197,75
"Szalejów Dolny H-4";2024-09-14 03:47:33;197,088
"Szalejów Dolny H-4";2024-09-14 04:02:46;196,386
"Szalejów Dolny H-4";2024-09-14 04:17:51;195,263
"Szalejów Dolny H-4";2024-09-14 04:33:03;194,32
"Szalejów Dolny H-4";2024-09-14 04:48:14;193,557
"Szalejów Dolny H-4";2024-09-14 05:03:18;192,554
"Szalejów Dolny H-4";2024-09-14 05:18:27;190,93
"Szalejów Dolny H-4";2024-09-14 05:33:39;190,087
"Szalejów Dolny H-4";2024-09-14 05:48:48;189,004
"Szalejów Dolny H-4";2024-09-14 06:03:57;187,319
"Szalejów Dolny H-4";2024-09-14 06:19:05;186,456
"Szalejów Dolny H-4";2024-09-14 06:34:12;185,072
"Szalejów Dolny H-4";2024-09-14 06:49:17;183,748
"Szalejów Dolny H-4";2024-09-14 07:04:26;182,244
"Szalejów Dolny H-4";2024-09-14 07:19:38;180,9
"Szalejów Dolny H-4";2024-09-14 07:34:48;180,458
"Szalejów Dolny H-4";2024-09-14 07:49:57;179,255
"Szalejów Dolny H-4";2024-09-14 08:05:06;177,63
"Szalejów Dolny H-4";2024-09-14 08:20:14;176,968
"Szalejów Dolny H-4";2024-09-14 08:35:24;176,767
"Szalejów Dolny H-4";2024-09-14 08:50:37;176,406
"Szalejów Dolny H-4";2024-09-14 09:05:46;175,965
"Szalejów Dolny H-4";2024-09-14 09:20:56;174,922
"Szalejów Dolny H-4";2024-09-14 09:36:07;174,34
"Szalejów Dolny H-4";2024-09-14 09:51:15;174,48
"Szalejów Dolny H-4";2024-09-14 10:06:21;174,641
"Szalejów Dolny H-4";2024-09-14 10:21:36;175,002
"Szalejów Dolny H-4";2024-09-14 10:36:43;175,102
"Szalejów Dolny H-4";2024-09-14 10:51:46;175,563
"Szalejów Dolny H-4";2024-09-14 11:07:00;177,108
"Szalejów Dolny H-4";2024-09-14 11:22:07;178,653
"Szalejów Dolny H-4";2024-09-14 11:37:21;180,599
"Szalejów Dolny H-4";2024-09-14 11:52:27;181,361
"Szalejów Dolny H-4";2024-09-14 12:07:40;180,298
"Szalejów Dolny H-4";2024-09-14 12:22:45;180,117
"Szalejów Dolny H-4";2024-09-14 12:37:59;180,298
"Szalejów Dolny H-4";2024-09-14 12:53:07;180,639
"Szalejów Dolny H-4";2024-09-14 13:08:16;181,903
"Szalejów Dolny H-4";2024-09-14 13:23:24;182,444
"Szalejów Dolny H-4";2024-09-14 13:38:36;183,026
"Szalejów Dolny H-4";2024-09-14 13:53:44;183,327
"Szalejów Dolny H-4";2024-09-14 14:08:51;182,785
"Szalejów Dolny H-4";2024-09-14 14:24:01;182,484
"Szalejów Dolny H-4";2024-09-14 14:39:14;181,903
"Szalejów Dolny H-4";2024-09-14 14:54:25;178,893
"Szalejów Dolny H-4";2024-09-14 15:09:33;169,465
"Szalejów Dolny H-4";2024-09-14 15:24:47;161,261
"Szalejów Dolny H-4";2024-09-14 15:39:58;158,853
"Szalejów Dolny H-4";2024-09-14 15:55:09;157,148
"Szalejów Dolny H-4";2024-09-14 16:10:18;156,246
"Szalejów Dolny H-4";2024-09-14 16:25:29;155,343
"Szalejów Dolny H-4";2024-09-14 16:40:40;155,323
"Szalejów Dolny H-4";2024-09-14 16:55:52;155,543
"Szalejów Dolny H-4";2024-09-14 17:11:00;154,861
"Szalejów Dolny H-4";2024-09-14 17:26:10;155,523
"Szalejów Dolny H-4";2024-09-14 17:41:16;156,145
"Szalejów Dolny H-4";2024-09-14 17:56:23;155,864
"Szalejów Dolny H-4";2024-09-14 18:11:33;155,905
"Szalejów Dolny H-4";2024-09-14 18:26:44;156,145
"Szalejów Dolny H-4";2024-09-14 18:41:50;157,188
"Szalejów Dolny H-4";2024-09-14 18:56:59;158,994
"Szalejów Dolny H-4";2024-09-14 19:12:09;160,398
"Szalejów Dolny H-4";2024-09-14 19:27:21;161,16
"Szalejów Dolny H-4";2024-09-14 19:42:30;162,444
"Szalejów Dolny H-4";2024-09-14 19:57:40;163,989
"Szalejów Dolny H-4";2024-09-14 20:12:46;164,972
"Szalejów Dolny H-4";2024-09-14 20:27:54;166,536
"Szalejów Dolny H-4";2024-09-14 20:43:04;167,078
"Szalejów Dolny H-4";2024-09-14 20:58:09;167,018
"Szalejów Dolny H-4";2024-09-14 21:13:20;167,981
"Szalejów Dolny H-4";2024-09-14 21:28:30;168,302
"Szalejów Dolny H-4";2024-09-14 21:43:40;168,061
"Szalejów Dolny H-4";2024-09-14 21:58:53;167,339
"Szalejów Dolny H-4";2024-09-14 22:14:04;166,376
"Szalejów Dolny H-4";2024-09-14 22:29:13;165,614
"Szalejów Dolny H-4";2024-09-14 22:44:25;164,691
"Szalejów Dolny H-4";2024-09-14 22:59:34;163,407
"Szalejów Dolny H-4";2024-09-14 23:14:46;162,645
"Szalejów Dolny H-4";2024-09-14 23:29:54;161,762
"Szalejów Dolny H-4";2024-09-14 23:45:06;160,217
"Szalejów Dolny H-4";2024-09-15 00:00:16;159,596
"Szalejów Dolny H-4";2024-09-15 00:15:28;158,914
"Szalejów Dolny H-4";2024-09-15 00:30:35;157,509
