Stacja;Czas pomiaru;Woda
"Szczytna HP-2";2024-09-13 00:01:03;37,2771
"Szczytna HP-2";2024-09-13 00:16:07;37,9038
"Szczytna HP-2";2024-09-13 00:31:16;37,8836
"Szczytna HP-2";2024-09-13 00:46:26;37,4591
"Szczytna HP-2";2024-09-13 01:01:35;38,6719
"Szczytna HP-2";2024-09-13 01:16:39;38,8741
"Szczytna HP-2";2024-09-13 01:31:50;40,0061
"Szczytna HP-2";2024-09-13 01:46:57;38,2676
"Szczytna HP-2";2024-09-13 02:02:04;41,2391
"Szczytna HP-2";2024-09-13 02:17:14;40,0465
"Szczytna HP-2";2024-09-13 02:32:22;43,1999
"Szczytna HP-2";2024-09-13 02:47:32;41,7849
"Szczytna HP-2";2024-09-13 03:02:41;42,735
"Szczytna HP-2";2024-09-13 03:17:56;42,6137
"Szczytna HP-2";2024-09-13 03:33:01;42,2903
"Szczytna HP-2";2024-09-13 03:48:12;44,0691
"Szczytna HP-2";2024-09-13 04:03:17;43,0786
"Szczytna HP-2";2024-09-13 04:18:20;43,1999
"Szczytna HP-2";2024-09-13 04:33:32;45,1405
"Szczytna HP-2";2024-09-13 04:48:50;46,1512
"Szczytna HP-2";2024-09-13 05:04:02;44,4532
"Szczytna HP-2";2024-09-13 05:19:06;46,3736
"Szczytna HP-2";2024-09-13 05:34:19;47,8492
"Szczytna HP-2";2024-09-13 05:49:26;48,112
"Szczytna HP-2";2024-09-13 06:04:40;47,3641
"Szczytna HP-2";2024-09-13 06:19:48;49,3046
"Szczytna HP-2";2024-09-13 06:35:01;48,496
"Szczytna HP-2";2024-09-13 06:50:07;50,8409
"Szczytna HP-2";2024-09-13 07:05:18;48,8599
"Szczytna HP-2";2024-09-13 07:20:20;52,3368
"Szczytna HP-2";2024-09-13 07:35:26;50,9622
"Szczytna HP-2";2024-09-13 07:50:43;51,1037
"Szczytna HP-2";2024-09-13 08:05:51;53,489
"Szczytna HP-2";2024-09-13 08:21:07;55,0657
"Szczytna HP-2";2024-09-13 08:36:18;54,3986
"Szczytna HP-2";2024-09-13 08:51:24;53,3475
"Szczytna HP-2";2024-09-13 09:06:30;53,9943
"Szczytna HP-2";2024-09-13 09:21:38;52,9836
"Szczytna HP-2";2024-09-13 09:36:46;54,8231
"Szczytna HP-2";2024-09-13 09:51:58;52,8219
"Szczytna HP-2";2024-09-13 10:06:57;55,0253
"Szczytna HP-2";2024-09-13 10:22:20;55,2274
"Szczytna HP-2";2024-09-13 10:37:27;56,3796
"Szczytna HP-2";2024-09-13 10:52:40;54,1358
"Szczytna HP-2";2024-09-13 11:07:46;56,8243
"Szczytna HP-2";2024-09-13 11:22:56;56,137
"Szczytna HP-2";2024-09-13 11:38:00;58,4819
"Szczytna HP-2";2024-09-13 11:53:12;58,7851
"Szczytna HP-2";2024-09-13 12:08:19;58,3606
"Szczytna HP-2";2024-09-13 12:23:30;59,0277
"Szczytna HP-2";2024-09-13 12:38:37;60,4629
"Szczytna HP-2";2024-09-13 12:53:45;61,0895
"Szczytna HP-2";2024-09-13 13:09:59;62,3833
"Szczytna HP-2";2024-09-13 13:24:10;63,6163
"Szczytna HP-2";2024-09-13 13:39:16;63,9195
"Szczytna HP-2";2024-09-13 13:54:21;65,1122
"Szczytna HP-2";2024-09-13 14:09:41;67,0123
"Szczytna HP-2";2024-09-13 14:24:58;67,073
"Szczytna HP-2";2024-09-13 14:40:04;67,356
"Szczytna HP-2";2024-09-13 14:55:09;68,1847
"Szczytna HP-2";2024-09-13 15:10:14;70,2264
"Szczytna HP-2";2024-09-13 15:25:26;71,985
"Szczytna HP-2";2024-09-13 15:40:37;72,2276
"Szczytna HP-2";2024-09-13 15:55:44;74,1682
"Szczytna HP-2";2024-09-13 16:11:47;76,0279
"Szczytna HP-2";2024-09-13 16:26:02;78,3323
"Szczytna HP-2";2024-09-13 16:41:09;79,8282
"Szczytna HP-2";2024-09-13 16:56:18;80,6772
"Szczytna HP-2";2024-09-13 17:11:31;80,6367
"Szczytna HP-2";2024-09-13 17:26:31;84,336
"Szczytna HP-2";2024-09-13 17:41:43;83,8912
"Szczytna HP-2";2024-09-13 17:56:52;86,4382
"Szczytna HP-2";2024-09-13 18:12:01;85,5488
"Szczytna HP-2";2024-09-13 18:27:17;88,4799
"Szczytna HP-2";2024-09-13 18:42:25;88,2171
"Szczytna HP-2";2024-09-13 18:57:35;89,8949
"Szczytna HP-2";2024-09-13 19:12:41;91,7546
"Szczytna HP-2";2024-09-13 19:27:50;91,9972
"Szczytna HP-2";2024-09-13 19:43:00;91,6131
"Szczytna HP-2";2024-09-13 19:58:17;99,8201
"Szczytna HP-2";2024-09-13 20:13:25;100,689
"Szczytna HP-2";2024-09-13 20:28:33;102,812
"Szczytna HP-2";2024-09-13 20:43:37;107,299
"Szczytna HP-2";2024-09-13 20:58:51;111,181
"Szczytna HP-2";2024-09-13 21:14:02;119,084
"Szczytna HP-2";2024-09-13 21:29:13;123,168
"Szczytna HP-2";2024-09-13 21:44:25;124,138
"Szczytna HP-2";2024-09-13 21:59:24;128,565
"Szczytna HP-2";2024-09-13 22:14:35;141,643
"Szczytna HP-2";2024-09-13 22:29:43;141,178
"Szczytna HP-2";2024-09-13 22:44:56;145,767
"Szczytna HP-2";2024-09-13 23:00:04;151,164
"Szczytna HP-2";2024-09-13 23:15:13;145,363
"Szczytna HP-2";2024-09-13 23:30:20;157,128
