Stacja;Czas pomiaru;Woda
"Ścinawka H-19";2024-09-17 00:10:33;200,779
"Ścinawka H-19";2024-09-17 00:27:24;198,143
"Ścinawka H-19";2024-09-17 00:41:41;197,841
"Ścinawka H-19";2024-09-17 00:55:49;198,525
"Ścinawka H-19";2024-09-17 01:11:53;197,157
"Ścinawka H-19";2024-09-17 01:26:01;196,553
"Ścinawka H-19";2024-09-17 01:41:13;195,366
"Ścinawka H-19";2024-09-17 01:56:20;192,288
"Ścinawka H-19";2024-09-17 02:11:25;191,624
"Ścinawka H-19";2024-09-17 02:26:31;192,087
"Ścinawka H-19";2024-09-17 02:41:38;191,402
"Ścinawka H-19";2024-09-17 02:56:55;191,845
"Ścinawka H-19";2024-09-17 03:12:07;190,658
"Ścinawka H-19";2024-09-17 03:27:14;188,042
"Ścinawka H-19";2024-09-17 03:42:20;188,143
"Ścinawka H-19";2024-09-17 03:57:31;185,245
"Ścinawka H-19";2024-09-17 04:12:45;183,052
"Ścinawka H-19";2024-09-17 04:27:49;183,575
"Ścinawka H-19";2024-09-17 04:42:57;183,052
"Ścinawka H-19";2024-09-17 04:58:02;183,475
"Ścinawka H-19";2024-09-17 05:13:15;182,268
"Ścinawka H-19";2024-09-17 05:28:22;179,813
"Ścinawka H-19";2024-09-17 05:43:31;179,129
"Ścinawka H-19";2024-09-17 05:58:37;177,056
"Ścinawka H-19";2024-09-17 06:13:38;173,314
"Ścinawka H-19";2024-09-17 06:28:48;171,563
"Ścinawka H-19";2024-09-17 06:43:57;172,247
"Ścinawka H-19";2024-09-17 07:00:21;173,213
"Ścinawka H-19";2024-09-17 07:14:11;172,67
"Ścinawka H-19";2024-09-17 07:29:20;173,294
"Ścinawka H-19";2024-09-17 07:44:32;172,972
"Ścinawka H-19";2024-09-17 07:59:37;172,107
"Ścinawka H-19";2024-09-17 08:14:46;171,342
"Ścinawka H-19";2024-09-17 08:29:52;170,698
"Ścinawka H-19";2024-09-17 08:44:56;169,813
"Ścinawka H-19";2024-09-17 09:00:00;169,189
"Ścinawka H-19";2024-09-17 09:15:07;167,499
"Ścinawka H-19";2024-09-17 09:30:14;165,547
"Ścinawka H-19";2024-09-17 09:45:24;164,561
"Ścinawka H-19";2024-09-17 10:00:32;163,676
"Ścinawka H-19";2024-09-17 10:15:43;165,467
"Ścinawka H-19";2024-09-17 10:30:48;164,863
"Ścinawka H-19";2024-09-17 10:45:56;162,408
"Ścinawka H-19";2024-09-17 11:01:02;161,161
"Ścinawka H-19";2024-09-17 11:16:18;160,417
"Ścinawka H-19";2024-09-17 11:31:27;161,262
"Ścinawka H-19";2024-09-17 11:46:38;161,664
"Ścinawka H-19";2024-09-17 12:01:44;159,35
"Ścinawka H-19";2024-09-17 12:16:50;155,769
"Ścinawka H-19";2024-09-17 12:33:50;154,742
"Ścinawka H-19";2024-09-17 12:47:04;156,553
"Ścinawka H-19";2024-09-17 13:03:20;156,714
"Ścinawka H-19";2024-09-17 13:17:18;155,95
"Ścinawka H-19";2024-09-17 13:32:27;155,386
"Ścinawka H-19";2024-09-17 13:47:35;155,306
"Ścinawka H-19";2024-09-17 14:02:40;154,159
"Ścinawka H-19";2024-09-17 14:17:45;152,288
"Ścinawka H-19";2024-09-17 14:32:56;151,201
"Ścinawka H-19";2024-09-17 14:48:00;148,042
"Ścinawka H-19";2024-09-17 15:03:01;149,39
"Ścinawka H-19";2024-09-17 15:18:22;150,759
"Ścinawka H-19";2024-09-17 15:33:32;148,746
"Ścinawka H-19";2024-09-17 15:48:34;147,499
"Ścinawka H-19";2024-09-17 16:03:47;145,648
"Ścinawka H-19";2024-09-17 16:19:03;145,608
"Ścinawka H-19";2024-09-17 16:34:13;144,722
"Ścinawka H-19";2024-09-17 16:49:18;144,642
"Ścinawka H-19";2024-09-17 17:04:25;145,889
"Ścinawka H-19";2024-09-17 17:19:35;144,501
"Ścinawka H-19";2024-09-17 17:34:41;143,173
"Ścinawka H-19";2024-09-17 17:49:48;144,36
"Ścinawka H-19";2024-09-17 18:05:01;143,596
"Ścinawka H-19";2024-09-17 18:20:13;141,181
"Ścinawka H-19";2024-09-17 18:35:19;140,899
"Ścinawka H-19";2024-09-17 18:50:29;139,934
"Ścinawka H-19";2024-09-17 19:05:33;139,37
"Ścinawka H-19";2024-09-17 19:20:44;139,853
"Ścinawka H-19";2024-09-17 19:35:51;138,948
"Ścinawka H-19";2024-09-17 19:51:03;137,841
"Ścinawka H-19";2024-09-17 20:06:13;135,588
"Ścinawka H-19";2024-09-17 20:21:19;134,581
"Ścinawka H-19";2024-09-17 20:36:27;136,131
"Ścinawka H-19";2024-09-17 20:51:34;135,205
"Ścinawka H-19";2024-09-17 21:06:41;134,803
"Ścinawka H-19";2024-09-17 21:21:49;135,225
"Ścinawka H-19";2024-09-17 21:36:57;134,783
"Ścinawka H-19";2024-09-17 21:52:06;135,366
"Ścinawka H-19";2024-09-17 22:07:19;133,052
"Ścinawka H-19";2024-09-17 22:22:30;132,268
"Ścinawka H-19";2024-09-17 22:37:42;133,032
"Ścinawka H-19";2024-09-17 22:52:45;128,445
"Ścinawka H-19";2024-09-17 23:07:52;128,062
"Ścinawka H-19";2024-09-17 23:22:57;130,96
"Ścinawka H-19";2024-09-17 23:39:07;131,503
"Ścinawka H-19";2024-09-17 23:54:14;129,793
"Ścinawka H-19";2024-09-18 00:09:23;126,775
"Ścinawka H-19";2024-09-18 00:23:38;127,278
"Ścinawka H-19";2024-09-18 00:38:45;126,936
"Ścinawka H-19";2024-09-18 00:54:54;128,062
"Ścinawka H-19";2024-09-18 01:09:01;129,672
"Ścinawka H-19";2024-09-18 01:24:15;127,338
"Ścinawka H-19";2024-09-18 01:39:21;126,714
"Ścinawka H-19";2024-09-18 01:56:40;127,137
"Ścinawka H-19";2024-09-18 02:09:46;127,901
"Ścinawka H-19";2024-09-18 02:24:52;126,252
"Ścinawka H-19";2024-09-18 02:40:08;123,757
"Ścinawka H-19";2024-09-18 02:55:18;124,843
"Ścinawka H-19";2024-09-18 03:10:24;127,056
"Ścinawka H-19";2024-09-18 03:25:33;125,326
"Ścinawka H-19";2024-09-18 03:40:48;123,213
"Ścinawka H-19";2024-09-18 03:55:54;124,441
"Ścinawka H-19";2024-09-18 04:11:07;124,038
"Ścinawka H-19";2024-09-18 04:26:10;124,441
"Ścinawka H-19";2024-09-18 04:41:19;123,032
"Ścinawka H-19";2024-09-18 04:56:30;121,825
"Ścinawka H-19";2024-09-18 05:11:37;122,71
"Ścinawka H-19";2024-09-18 05:26:42;121,946
"Ścinawka H-19";2024-09-18 05:42:50;122,71
"Ścinawka H-19";2024-09-18 05:56:57;121,423
