Stacja;Czas pomiaru;Woda
"Żelazno H-3";2024-09-17 00:11:43;358,879
"Żelazno H-3";2024-09-17 00:27:08;358,879
"Żelazno H-3";2024-09-17 00:41:54;358,879
"Żelazno H-3";2024-09-17 00:56:51;358,879
"Żelazno H-3";2024-09-17 01:12:09;358,879
"Żelazno H-3";2024-09-17 01:27:18;358,879
"Żelazno H-3";2024-09-17 01:42:23;358,879
"Żelazno H-3";2024-09-17 01:57:27;358,879
"Żelazno H-3";2024-09-17 02:12:46;358,879
"Żelazno H-3";2024-09-17 02:27:43;358,879
"Żelazno H-3";2024-09-17 02:42:47;358,879
"Żelazno H-3";2024-09-17 02:58:10;358,879
"Żelazno H-3";2024-09-17 03:13:17;358,879
"Żelazno H-3";2024-09-17 03:28:23;358,879
"Żelazno H-3";2024-09-17 03:43:31;358,879
"Żelazno H-3";2024-09-17 03:58:37;358,879
"Żelazno H-3";2024-09-17 04:13:55;358,879
"Żelazno H-3";2024-09-17 04:29:03;358,879
"Żelazno H-3";2024-09-17 04:44:02;358,879
"Żelazno H-3";2024-09-17 04:59:12;358,879
"Żelazno H-3";2024-09-17 05:14:23;358,879
"Żelazno H-3";2024-09-17 05:29:39;358,879
"Żelazno H-3";2024-09-17 05:44:39;358,879
"Żelazno H-3";2024-09-17 05:59:54;358,879
"Żelazno H-3";2024-09-17 06:14:45;358,879
"Żelazno H-3";2024-09-17 06:29:57;358,879
"Żelazno H-3";2024-09-17 06:45:15;358,879
"Żelazno H-3";2024-09-17 07:00:48;358,879
"Żelazno H-3";2024-09-17 07:15:39;358,879
"Żelazno H-3";2024-09-17 07:30:36;358,879
"Żelazno H-3";2024-09-17 07:45:49;358,879
"Żelazno H-3";2024-09-17 08:00:55;358,879
"Żelazno H-3";2024-09-17 08:16:12;358,879
"Żelazno H-3";2024-09-17 08:31:12;358,879
"Żelazno H-3";2024-09-17 08:46:18;358,879
"Żelazno H-3";2024-09-17 09:01:25;358,879
"Żelazno H-3";2024-09-17 09:16:27;358,879
"Żelazno H-3";2024-09-17 09:31:36;358,879
"Żelazno H-3";2024-09-17 09:46:46;358,879
"Żelazno H-3";2024-09-17 10:01:57;358,879
"Żelazno H-3";2024-09-17 10:17:06;358,879
"Żelazno H-3";2024-09-17 10:32:11;358,879
"Żelazno H-3";2024-09-17 10:47:17;358,879
"Żelazno H-3";2024-09-17 11:02:21;358,879
"Żelazno H-3";2024-09-17 11:17:41;358,879
"Żelazno H-3";2024-09-17 11:32:56;358,879
"Żelazno H-3";2024-09-17 11:48:15;358,879
"Żelazno H-3";2024-09-17 12:03:14;358,879
"Żelazno H-3";2024-09-17 12:18:17;358,879
"Żelazno H-3";2024-09-17 12:33:29;358,879
"Żelazno H-3";2024-09-17 12:48:41;358,879
"Żelazno H-3";2024-09-17 13:03:41;358,879
"Żelazno H-3";2024-09-17 13:18:36;358,879
"Żelazno H-3";2024-09-17 13:33:43;358,879
"Żelazno H-3";2024-09-17 13:48:46;358,879
"Żelazno H-3";2024-09-17 14:03:47;358,879
"Żelazno H-3";2024-09-17 14:18:55;358,879
"Żelazno H-3";2024-09-17 14:34:05;358,879
"Żelazno H-3";2024-09-17 14:49:20;358,879
"Żelazno H-3";2024-09-17 15:04:07;358,879
"Żelazno H-3";2024-09-17 15:19:46;358,879
"Żelazno H-3";2024-09-17 15:34:39;358,879
"Żelazno H-3";2024-09-17 15:49:36;358,879
"Żelazno H-3";2024-09-17 16:04:55;358,879
"Żelazno H-3";2024-09-17 16:20:16;358,879
"Żelazno H-3";2024-09-17 16:35:27;358,879
"Żelazno H-3";2024-09-17 16:50:24;358,879
"Żelazno H-3";2024-09-17 17:05:28;358,879
"Żelazno H-3";2024-09-17 17:20:45;358,879
"Żelazno H-3";2024-09-17 17:35:51;358,879
"Żelazno H-3";2024-09-17 17:51:02;358,879
"Żelazno H-3";2024-09-17 18:06:05;358,879
"Żelazno H-3";2024-09-17 18:21:22;358,879
"Żelazno H-3";2024-09-17 18:36:37;358,879
"Żelazno H-3";2024-09-17 18:51:40;358,879
"Żelazno H-3";2024-09-17 19:06:56;358,879
"Żelazno H-3";2024-09-17 19:21:48;358,879
"Żelazno H-3";2024-09-17 19:35:21;269,283
"Żelazno H-3";2024-09-17 19:50:28;176,976
"Żelazno H-3";2024-09-17 20:05:38;177,745
"Żelazno H-3";2024-09-17 20:21:59;176,996
"Żelazno H-3";2024-09-17 20:35:52;175,377
"Żelazno H-3";2024-09-17 20:51:01;176,247
"Żelazno H-3";2024-09-17 21:06:07;177,421
"Żelazno H-3";2024-09-17 21:21:14;176,976
"Żelazno H-3";2024-09-17 21:36:25;175,032
"Żelazno H-3";2024-09-17 21:51:32;174,223
"Żelazno H-3";2024-09-17 22:06:41;175,599
"Żelazno H-3";2024-09-17 22:21:54;175,255
"Żelazno H-3";2024-09-17 22:37:05;174,304
"Żelazno H-3";2024-09-17 22:52:12;172,968
"Żelazno H-3";2024-09-17 23:07:18;173,352
"Żelazno H-3";2024-09-17 23:22:27;174,061
"Żelazno H-3";2024-09-17 23:38:47;173,514
"Żelazno H-3";2024-09-17 23:52:47;173,089
"Żelazno H-3";2024-09-18 00:07:55;173,008
"Żelazno H-3";2024-09-18 00:23:02;172,968
"Żelazno H-3";2024-09-18 00:38:10;173,008
"Żelazno H-3";2024-09-18 00:53:19;173,453
"Żelazno H-3";2024-09-18 01:10:02;172,846
"Żelazno H-3";2024-09-18 01:24:49;172,482
"Żelazno H-3";2024-09-18 01:38:49;171,551
"Żelazno H-3";2024-09-18 01:54:03;170,984
"Żelazno H-3";2024-09-18 02:09:10;171,794
"Żelazno H-3";2024-09-18 02:24:21;171,125
"Żelazno H-3";2024-09-18 02:39:34;170,943
"Żelazno H-3";2024-09-18 02:54:40;171,794
"Żelazno H-3";2024-09-18 03:09:51;171,105
"Żelazno H-3";2024-09-18 03:26:34;170,619
"Żelazno H-3";2024-09-18 03:40:13;169,364
"Żelazno H-3";2024-09-18 03:55:19;168,96
"Żelazno H-3";2024-09-18 04:10:34;169,364
"Żelazno H-3";2024-09-18 04:25:40;169,445
"Żelazno H-3";2024-09-18 04:42:05;169,324
"Żelazno H-3";2024-09-18 04:55:56;168,312
"Żelazno H-3";2024-09-18 05:12:11;168,717
"Żelazno H-3";2024-09-18 05:26:09;168,636
